gameId,fname,scene,row,engChrName,engSearchText,engHtmlText,jpnChrName,jpnSearchText,jpnHtmlText,opName,pcIconHtml,evoIconHtml
m6105,1,1,Frightened voice,S-Stay away! STAY AWAY!,S-Stay away! STAY AWAY!,怯える声,く、来るな！　来るなあああ──！！,<S5>く、来るな！　来るなあああ──！！,,
m6105,2,12,tourist,"No, I'm okay...","No, I'm okay...",観光客,ああ、助かった……,ああ、助かった……,,
m6105,2,13,tourist,"Wait. No, I'm not! Please, help me!","Wait. No, I'm not! Please, help me!",観光客,いやッ……！　頼む、助けてくれ！,いやッ……！　頼む、助けてくれ！,,
m6105,2,14,Ferry,Huh? But all the enemies are dead.,Huh? But all the enemies are dead.,フェリ,？　既に周辺には敵性反応はありませんが？,？　既に周辺には敵性反応はありませんが？,,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>"
m6105,2,15,Quatre,Hold on a moment. Weren't there two tourists we needed to save?,Hold on a moment. Weren't there two tourists we<br/>needed to save?,カトル,そういえば、もう一人は……？,そういえば、もう一人は……？,,"<img class=""itp-kuro"" src=""itp/11/avfc0004_out.webp""/>"
m6105,2,16,tourist,My girlfriend's in danger! She's deeper in!,My girlfriend's in danger! She's deeper in!,観光客,俺の彼女が奥にいるんだ！,俺の彼女が奥にいるんだ！,,
m6105,2,17,tourist,"Are you guys bracers? No, that doesn't matter! Whoever you are...just please save her!","Are you guys bracers? No, that doesn't matter!<br/>Whoever you are...just please save her!",観光客,あんたらは遊撃士か？　いや誰でもいい── 彼女を助けてくれ！　頼む！！,あんたらは遊撃士か？　いや誰でもいい──<br/>彼女を助けてくれ！　頼む！！,,
m6105,2,18,Aaron,Don't tell me you abandoned her to save your own hide.,Don't tell me you abandoned her to save your<br/>own hide.,アーロン,ってお前、まさか彼女を置いて 一人で逃げ出したんじゃねえだろうな？,ってお前、まさか彼女を置いて<br/>一人で逃げ出したんじゃねえだろうな？,,"<img class=""itp-kuro"" src=""itp/11/avfc0002_out.webp""/>"
m6105,2,19,tourist,Of course not! I was trying to save her!,Of course not! I was trying to save her!,観光客,そんなことするわけないだろう！,そんなことするわけないだろう！,,
m6105,2,20,tourist,"We were just wandering around and minding our own business, and those things came from out of nowhere and attacked us!","We were just wandering around and minding our<br/>own business, and those things came from out of<br/>nowhere and attacked us!",観光客,一緒にいた時にさっきのヤツに襲われて、 入口方面が塞がれたから──,一緒にいた時にさっきのヤツに襲われて、<br/>入口方面が塞がれたから──,,
m6105,2,21,tourist,"They had us cornered, so I used myself as bait to lure them away from her!","They had us cornered, so I used myself as bait to lure<br/>them away from her!",観光客,俺が囮になって彼女を奥に逃がしたんだ！,俺が囮になって彼女を奥に逃がしたんだ！,,
m6105,2,22,Judith,Wow. You've got some serious backbone.,Wow. You've got some serious backbone.,ジュディス,へえ、ただの物好きなバカだと思ってたけど、 少しは骨があるようね。,へえ、ただの物好きなバカだと思ってたけど、<br/>少しは骨があるようね。,,"<img class=""itp-kuro"" src=""itp/11/avfc5007_out.webp""/>"
m6105,2,23,Van,All right. You head on back up to the surface and wait for us. We'll rescue your girl.,All right. You head on back up to the surface and<br/>wait for us. We'll rescue your girl.,ヴァン,とにかくアンタは上に戻って待ってろ。 後は俺たちがなんとかする。,とにかくアンタは上に戻って待ってろ。<br/>後は俺たちがなんとかする。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m6105,2,24,tourist,Y-You mean it?,Y-You mean it?,観光客,ほ、本当か？,ほ、本当か？,,
m6105,2,25,Bellegarde,Of course. We'll take care of her.,Of course. We'll take care of her.,ベルガルド,安心して任せるがいい。,安心して任せるがいい。,,"<img class=""itp-kuro"" src=""itp/11/avfc0006_out.webp""/>"
m6105,2,26,tourist,"Th-Then I'll leave it to you! You're my only hope, so please rescue her!","Th-Then I'll leave it to you! You're my only hope, so<br/>please rescue her!",観光客,な、なら……頼んだからな！,な、なら……頼んだからな！,,
m6105,2,27,Agnes,"Now, let's go find her. I wouldn't be surprised if she was at the end.","Now, let's go find her. I wouldn't be surprised if she<br/>was at the end.",アニエス,では、わたしたちは奥に向かいましょうか。,では、わたしたちは奥に向かいましょうか。,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
m6105,2,28,Lisette,"Bear in mind that the layout is identical to the other entrances, so both the left and right paths will take the same amount of time to traverse.","Bear in mind that the layout is identical to the other<br/>entrances, so both the left and right paths will take<br/>the same amount of time to traverse.",リゼット,構造が他の入口と同じなら どちらから進んでも変わらないでしょう。,構造が他の入口と同じなら<br/>どちらから進んでも変わらないでしょう。,,"<img class=""itp-kuro"" src=""itp/11/avfc5005_out.webp""/>"
m6105,2,29,Van,"I'm not sensing any monsters nearby, so we should be able to make a sprint for it.","I'm not sensing any monsters nearby, so we should be<br/>able to make a sprint for it.",ヴァン,今の所……近くに魔物の気配はなさそうだ。 奥まで駆け抜けるとすっか。,今の所……近くに魔物の気配はなさそうだ。<br/>奥まで駆け抜けるとすっか。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m6105,3,30,Quatre,There she is!,There she is!,カトル,あれは……！,あれは……！,,"<img class=""itp-kuro"" src=""itp/11/avfc0004_out.webp""/>"
m6105,3,31,Aaron,Looks like these guys just did the saving for us.,Looks like these guys just did the saving for us.,アーロン,ハッ、ちょうど 魔物を片付け終わった所かよ。,ハッ、ちょうど<br/>魔物を片付け終わった所かよ。,,"<img class=""itp-kuro"" src=""itp/11/avfc0002_out.webp""/>"
m6105,3,32,Aaron,They must be one of the teams in the game—and I'm guessing this is their turf.,They must be one of the teams in the game—and I'm<br/>guessing this is their turf.,アーロン,てことはこいつらがここのチームか。,てことはこいつらがここのチームか。,,"<img class=""itp-kuro"" src=""itp/11/avfc0002_out.webp""/>"
m6105,3,33,Ferry,"Careful. These guys are jaegers for sure. I've never seen them here in the Republic before, but I doubt they're good news.","Careful. These guys are jaegers for sure. I've never<br/>seen them here in the Republic before, but I doubt<br/>they're good news.",フェリ,気をつけてください、猟兵です。 共和国では見かけない団ですが、彼らは……,気をつけてください、猟兵です。<br/>共和国では見かけない団ですが、彼らは……,,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>"
m6105,3,34,Van,"Got it. So if they aren't Nidhoggr, they must be...","Got it. So if they aren't Nidhoggr, they must be...",ヴァン,なるほど、《ニーズヘッグ》でもねえようだし、 つうことは――,なるほど、《ニーズヘッグ》でもねえようだし、<br/>つうことは――,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m6105,3,35,Van,"Hey. You guys are the Scorpions of Zahat, right?","Hey. You guys are the Scorpions of Zahat, right?",ヴァン,アンタらが《ザハトの蠍》だな？,アンタらが《ザハトの蠍》だな？,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m6105,3,36,Hunter,I take it you're one of the other participating teams?,I take it you're one of the other participating teams?,猟兵,その口ぶり、貴様らも“ゲーム”の参加者か？,その口ぶり、貴様らも“ゲーム”の参加者か？,,
m6105,3,37,Van,Yeah. Arkride Solutions.,Yeah. Arkride Solutions.,ヴァン,ああ、《アークライド解決事務所》のもんだ。,ああ、《アークライド解決事務所》のもんだ。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m6105,3,38,Hunter,Wait... That's the name of the team that thrashed the head honcho of round one!,Wait... That's the name of the team that thrashed the<br/>head honcho of round one!,猟兵,あの担当者を倒したチーム……！,あの担当者を倒したチーム……！,,
m6105,3,39,Hunter,"We may have been eliminated, but this is still our base of operations.","We may have been eliminated, but this is still our<br/>base of operations.",猟兵,既に“ゲーム”から脱落したとは言え、 ここは俺たちザハトが拠点にしてる場所だ。,既に“ゲーム”から脱落したとは言え、<br/>ここは俺たちザハトが拠点にしてる場所だ。,,
m6105,3,40,Hunter,What business do you have here?,What business do you have here?,猟兵,一体何の用だ？,一体何の用だ？,,
m6105,3,41,Van,"Nothing with you, but we do have business with the woman that's sprawled out on the floor.","Nothing with you, but we do have business with the<br/>woman that's sprawled out on the floor.",ヴァン,用があるのはアンタらじゃねえ、 そこの“彼女”だ。,用があるのはアンタらじゃねえ、<br/>そこの“彼女”だ。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m6105,3,42,Quatre,Don't tell me she's—,Don't tell me she's—,カトル,僕たちが捜してる観光客！ まさかッ……！！,僕たちが捜してる観光客！<br/>まさかッ……！！,,"<img class=""itp-kuro"" src=""itp/11/avfc0004_out.webp""/>"
m6105,3,43,Lisette,"No, she is simply unconscious.","No, she is simply unconscious.",リゼット,いいえ、気を失っているだけのようです。,いいえ、気を失っているだけのようです。,,"<img class=""itp-kuro"" src=""itp/11/avfc5005_out.webp""/>"
m6105,3,44,Hunter,And what do you want with her?,And what do you want with her?,猟兵,そこの女か……,そこの女か……,,
m6105,3,45,Van,We're here to get her out of here. Mind handin' her over?,We're here to get her out of here. Mind handin'<br/>her over?,ヴァン,その子はただの一般人だ。 悪いがこっちに引き渡してもらえないか？,その子はただの一般人だ。<br/>悪いがこっちに引き渡してもらえないか？,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m6105,3,46,Hunter,I should've figured that's what you wanted.,I should've figured that's what you wanted.,猟兵,一般人……やはりか。,一般人……やはりか。,,
m6105,3,47,Hunter,"Unfortunately, our answer is no.","Unfortunately, our answer is no.",猟兵,だが引き渡すのは無理な相談だ。,だが引き渡すのは無理な相談だ。,,
m6105,3,48,Agnes,B-But why?!,B-But why?!,アニエス,ど、どうしてダメなんですか……！,ど、どうしてダメなんですか……！,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
m6105,3,49,Hunter,Because she saw our faces.,Because she saw our faces.,猟兵,その女は俺たちの素顔を見た</B>。,その女は俺たちの素顔を<B>見た</B>。,,
m6105,3,50,Quatre,What?,What?,カトル,見た？,見た？,,"<img class=""itp-kuro"" src=""itp/11/avfc0004_out.webp""/>"
m6105,3,51,Hunter,We cannot allow civilians to bear witness to that.,We cannot allow civilians to bear witness to that.,猟兵,一般人に素顔を知られるのは俺たちの禁忌。 だからその女には──,一般人に素顔を知られるのは俺たちの禁忌。<br/>だからその女には──,,
m6105,3,52,Hunter,That's why we have no choice but to make her disappear.,That's why we have no choice but to make<br/>her disappear.,猟兵,消えてもらう。,消えてもらう。,,
m6105,3,53,Bellegarde,So you're merely covering your tracks.,So you're merely covering your tracks.,ベルガルド,口封じか。,口封じか。,,"<img class=""itp-kuro"" src=""itp/11/avfc0006_out.webp""/>"
m6105,3,54,Agnes,But why go that far...?,But why go that far...?,アニエス,そんな……,そんな……,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
m6105,3,55,Ferry,You're planning to kill her just because she saw your faces? That's messed up—and we're NOT gonna let that happen!,You're planning to kill her just because she saw<br/>your faces? That's messed up—and we're NOT gonna<br/>let that happen!,フェリ,顔を見られただけでそんなこと…… 許されるはずがありません！,顔を見られただけでそんなこと……<br/>許されるはずがありません！,,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>"
m6105,3,56,Hunter,"Hmm? You look like you're a jaeger—and quite a young one, at that.","Hmm? You look like you're a jaeger—and quite a<br/>young one, at that.",猟兵,小娘、貴様も猟兵のようだな。 だったら分かっているはずだ。,小娘、貴様も猟兵のようだな。<br/>だったら分かっているはずだ。,,
m6105,3,57,Hunter,"In that case, let me educate you on something you should already understand:","In that case, let me educate you on something you<br/>should already understand:",猟兵,猟兵団にはそれぞれの掟がある。 それがどんなものであれ──,猟兵団にはそれぞれの掟がある。<br/>それがどんなものであれ──,,
m6105,3,58,Hunter,Every corps has their own rules that they must abide by. That's what it means to be a jaeger.,Every corps has their own rules that they must<br/>abide by. That's what it means to be a jaeger.,猟兵,他の団に口を出すべきではない。 それが猟兵の流儀だ。,他の団に口を出すべきではない。<br/>それが猟兵の流儀だ。,,
m6105,3,59,Hunter,"If you cannot come to terms with that, then in my eyes, you are nothing more than an immature little girl.","If you cannot come to terms with that, then in my<br/>eyes, you are nothing more than an immature<br/>little girl.",猟兵,それとも、そんなことすら 弁えないほどの未熟者なのか？,それとも、そんなことすら<br/>弁えないほどの未熟者なのか？,,
m6105,3,60,Ferry,Ngh...!,Ngh...!,フェリ,ッ……！,ッ……！,,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>"
m6105,3,61,Van,"Shut the hell up, assholes.","Shut the hell up, assholes.",ヴァン,そこまでにしてもらおうか。,そこまでにしてもらおうか。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m6105,3,62,Van,"She might be a jaeger, but right now, she's an assistant at my office.","She might be a jaeger, but right now, she's an<br/>assistant at my office.",ヴァン,猟兵だろうと何だろうと、 今はうちの事務所の一員だ。,猟兵だろうと何だろうと、<br/>今はうちの事務所の一員だ。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m6105,3,63,Van,And I'm not gonna let you diss one of my employees like that.,And I'm not gonna let you diss one of my employees<br/>like that.,ヴァン,だから、うちの流儀で行かせてもらう。,だから、うちの流儀で行かせてもらう。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m6105,3,64,Ferry,Van...,Van...,フェリ,ヴァンさん……,ヴァンさん……,,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>"
m6105,3,65,Van,We're gonna play this thing by my rules. Here's how this is gonna go down...,We're gonna play this thing by my rules. Here's how<br/>this is gonna go down...,ヴァン,ここは──,ここは──,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m6105,4,66,Van,Lemme level with you. Killing her is just about the dumbest thing you could do in this situation.,Lemme level with you. Killing her is just about the<br/>dumbest thing you could do in this situation.,ヴァン,よく考えた方がいい。 彼女を殺すのは決して賢い選択とは言えねえ。,よく考えた方がいい。<br/>彼女を殺すのは決して賢い選択とは言えねえ。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m6105,4,67,Hunter,Oh? And why's that?,Oh? And why's that?,猟兵,どういう意味だ。,どういう意味だ。,,
m6105,4,68,Van,It's possible that taking this girl's life could wind up leading to a rule violation.,It's possible that taking this girl's life could wind up<br/>leading to a rule violation.,ヴァン,忘れたのか？　ここはまだアルマータが 仕掛けた“ゲーム”の舞台だ。,忘れたのか？　ここはまだアルマータが<br/>仕掛けた“ゲーム”の舞台だ。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m6105,4,69,Van,"I don't know about you, but some of us aren't ready to be called home to be with the Goddess.","I don't know about you, but some of us aren't ready to<br/>be called home to be with the Goddess.",ヴァン,民間人への干渉は“ルール違反”になる可能性がある。 そしたらみんな女神行きだ。,民間人への干渉は“ルール違反”になる可能性がある。<br/>そしたらみんな女神行きだ。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m6105,4,70,Hunter,"Last I checked, the rules do not forbid the act of killing civilians—just leaking information to them.","Last I checked, the rules do not forbid the act of<br/>killing civilians—just leaking information to them.",猟兵,禁じられたのは一般人への情報の漏洩だ。 殺すなとは言ってない。,禁じられたのは一般人への情報の漏洩だ。<br/>殺すなとは言ってない。,,
m6105,4,71,Van,"True, but consider this:","True, but consider this:",ヴァン,“可能性”の話だ。,“可能性”の話だ。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m6105,4,72,Van,What if someone reports that girl as missing?,What if someone reports that girl as missing?,ヴァン,一人の人間が消えたとなると、 それがきっかけになって──,一人の人間が消えたとなると、<br/>それがきっかけになって──,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m6105,4,73,Van,It might arouse the curiosity of a journalist in search of a story or a police officer with a burning sense of justice.,It might arouse the curiosity of a journalist in search<br/>of a story or a police officer with a burning sense<br/>of justice.,ヴァン,“ゲーム”そのものが バレてしまうかもしれない。,“ゲーム”そのものが<br/>バレてしまうかもしれない。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m6105,4,74,Van,They could end up blowin' this whole thing wide open—and also blow us up in the process.,They could end up blowin' this whole thing wide<br/>open—and also blow us up in the process.,ヴァン,物好きな記者や正義感有り余った 警察とかによってな。,物好きな記者や正義感有り余った<br/>警察とかによってな。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m6105,4,75,Van,I'd say it's best to play it safe and let her go.,I'd say it's best to play it safe and let her go.,ヴァン,ここは慎重に行くべきじゃねえのか？,ここは慎重に行くべきじゃねえのか？,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m6105,4,76,Hunter,I think you're reaching.,I think you're reaching.,猟兵,……ふん、屁理屈を。,……ふん、屁理屈を。,,
m6105,4,77,Van,"Oh, and there's another thing you ought to worry about.","Oh, and there's another thing you ought to<br/>worry about.",ヴァン,それと、アンタらの地元で どうなのかは分からねえが……,それと、アンタらの地元で<br/>どうなのかは分からねえが……,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m6105,4,78,Van,"If you harm a hair on that girl's head, you're gonna have a giant target painted on your backs.","If you harm a hair on that girl's head, you're gonna<br/>have a giant target painted on your backs.",ヴァン,こっちでは、民間人に危害が加えられたら ギルドが黙っちゃいないぜ。,こっちでは、民間人に危害が加えられたら<br/>ギルドが黙っちゃいないぜ。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m6105,4,79,Van,"In case you didn't know, the Bracer Guild's in the business of protecting civilians.","In case you didn't know, the Bracer Guild's in the<br/>business of protecting civilians.",ヴァン,そして何の因果か、俺たちはギルドと それなりに付き合いがある。,そして何の因果か、俺たちはギルドと<br/>それなりに付き合いがある。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m6105,4,80,Van,And we might just have to tip 'em off if you don't hand her over to us.,And we might just have to tip 'em off if you don't<br/>hand her over to us.,ヴァン,このことがギルドに伝わったら…… アンタらにとっても結構まずいと思うが？,このことがギルドに伝わったら……<br/>アンタらにとっても結構まずいと思うが？,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m6105,4,81,Hunter,Are you threatening us?!,Are you threatening us?!,猟兵,それは脅しのつもりか……！,それは脅しのつもりか……！,,
m6105,4,82,Van,Course not.,Course not.,ヴァン,いやいやまさか。,いやいやまさか。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m6105,4,83,Van,"But we are guild subcontractors, so we're obligated to report to 'em if something happens to her.","But we are guild subcontractors, so we're obligated to<br/>report to 'em if something happens to her.",ヴァン,ただ俺たちはギルドの下請けのようなもんだから、 何かあったら報告する義務ってのがある。,ただ俺たちはギルドの下請けのようなもんだから、<br/>何かあったら報告する義務ってのがある。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m6105,4,84,Van,"It's like you said earlier. You've got your rules you have to follow, and we've got ours, too.","It's like you said earlier. You've got your rules you<br/>have to follow, and we've got ours, too.",ヴァン,俺の裁量で隠せるもんじゃねえからな。,俺の裁量で隠せるもんじゃねえからな。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m6105,4,85,Aaron,(Heh. Way to throw their words back in their stupid faces.),(Heh. Way to throw their words back in their<br/>stupid faces.),アーロン,（ハッ、よく言うぜ。）,（ハッ、よく言うぜ。）,,"<img class=""itp-kuro"" src=""itp/11/avfc0002_out.webp""/>"
m6105,4,86,Judith,(Look at him—whipping out the subcontractor bit only when it's convenient.),(Look at him—whipping out the subcontractor bit<br/>only when it's convenient.),ジュディス,（随分と都合のいい“下請け”ね。）,（随分と都合のいい“下請け”ね。）,,"<img class=""itp-kuro"" src=""itp/11/avfc5007_out.webp""/>"
m6105,4,87,Van,"If you ask me, you guys are puttin' your head in the lion's mouth.","If you ask me, you guys are puttin' your head in the<br/>lion's mouth.",ヴァン,だからさ、こんな民間人一人のために 背負うリスクにしては割に合わねえだろ。,だからさ、こんな民間人一人のために<br/>背負うリスクにしては割に合わねえだろ。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m6105,4,88,Hunter,...,...,猟兵,…………,…………,,
m6105,4,89,Van,"I'm a nice guy, though, so I promise I won't snitch on you—if you give her over to us unharmed.","I'm a nice guy, though, so I promise I won't snitch on<br/>you—if you give her over to us unharmed.",ヴァン,もし俺たちに預けてくれるなら、 見られたことも何とか誤魔化しておくぜ？,もし俺たちに預けてくれるなら、<br/>見られたことも何とか誤魔化しておくぜ？,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m6105,4,90,Van,I can just report that she was found by a bunch of meatheads who were playin' airsoft. They'd probably buy that.,I can just report that she was found by a bunch of<br/>meatheads who were playin' airsoft. They'd probably<br/>buy that.,ヴァン,そうだな……アンタらのことは“サバゲ好きな連中” ってことにすれば納得するはずだ。,そうだな……アンタらのことは“サバゲ好きな連中”<br/>ってことにすれば納得するはずだ。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m6105,4,91,Van,And I doubt she'd blab 'cause this place is supposed to be off limits.,And I doubt she'd blab 'cause this place is supposed<br/>to be off limits.,ヴァン,あっちも立ち入り禁止の場所に入った 負い目がある、言いふらしたりはしねえだろ。,あっちも立ち入り禁止の場所に入った<br/>負い目がある、言いふらしたりはしねえだろ。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m6105,4,92,Van,"Plan's foolproof—and everyone wins. We get the girl, and you get outta this unscathed.","Plan's foolproof—and everyone wins. We get the girl,<br/>and you get outta this unscathed.",ヴァン,これで、問題はねえよな？,これで、問題はねえよな？,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m6105,4,93,Hunter,Very well.,Very well.,猟兵,確かに貴様の話には一理ある。 断る理由もなさそうだ。,確かに貴様の話には一理ある。<br/>断る理由もなさそうだ。,,
m6105,4,94,Hunter,I don't see any reason to turn down your offer.,I don't see any reason to turn down your offer.,猟兵,その口車に乗ってやろう。,その口車に乗ってやろう。,,
m6105,4,95,Van,Great. Sounds like we've got a deal.,Great. Sounds like we've got a deal.,ヴァン,おお、感謝するぜ。,おお、感謝するぜ。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m6105,4,96,Van,"Now, then. We'll just take her with us and be on our way.","Now, then. We'll just take her with us and be on<br/>our way.",ヴァン,これ以上ここにいても邪魔になるだけだ。 俺たちは退散させてもらうか。,これ以上ここにいても邪魔になるだけだ。<br/>俺たちは退散させてもらうか。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m6105,5,97,Van,We're gonna fight it out.,We're gonna fight it out.,ヴァン,一つ、勝負をしねえか？,一つ、勝負をしねえか？,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m6105,5,98,Hunter,...You're challenging us?,...You're challenging us?,猟兵,……勝負だと？,……勝負だと？,,
m6105,5,99,Van,"Yeah. If we win, you hand her over to us.","Yeah. If we win, you hand her over to us.",ヴァン,そこの女を賭けてな。 俺たちが勝ったら身柄を引き渡してもらう。,そこの女を賭けてな。<br/>俺たちが勝ったら身柄を引き渡してもらう。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m6105,5,100,Van,"If you win, we'll back down.","If you win, we'll back down.",ヴァン,代わりにアンタらが勝ったら 俺たちは大人しく引き下がる。,代わりにアンタらが勝ったら<br/>俺たちは大人しく引き下がる。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m6105,5,101,Van,"And of course, we won't say a word about this to anyone.","And of course, we won't say a word about this<br/>to anyone.",ヴァン,当然ここのことも言いふらしたりはしねえ。,当然ここのことも言いふらしたりはしねえ。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m6105,5,102,Hunter,This doesn't benefit us in the slightest.,This doesn't benefit us in the slightest.,猟兵,こっちが勝った時のメリットが 少ないと思うが？,こっちが勝った時のメリットが<br/>少ないと思うが？,,
m6105,5,103,Van,Sure it does. It'll help kill the time.,Sure it does. It'll help kill the time.,ヴァン,付き合ってくれてもいいじゃねぇか、 どうせアンタらも暇でしょうがねえだろ？,付き合ってくれてもいいじゃねぇか、<br/>どうせアンタらも暇でしょうがねえだろ？,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m6105,5,104,Van,"It's not like you have anything else better to do, anyway. After all, you DID get eliminated from the get-go.","It's not like you have anything else better to<br/>do, anyway. After all, you DID get eliminated from<br/>the get-go.",ヴァン,何せ初っ端から負けて “ゲーム”に脱落したんだから。,何せ初っ端から負けて<br/>“ゲーム”に脱落したんだから。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m6105,5,105,Hunter,You bastard! How dare you mock us!,You bastard! How dare you mock us!,猟兵,貴様ぁ、俺たちザハトを愚弄する気か！！,貴様ぁ、俺たちザハトを愚弄する気か！！,,
m6105,5,106,Judith,(They took the bait.),(They took the bait.),ジュディス,（やれやれ、見え透いた挑発にのっちゃって。）,（やれやれ、見え透いた挑発にのっちゃって。）,,"<img class=""itp-kuro"" src=""itp/11/avfc5007_out.webp""/>"
m6105,5,107,Agnes,(He really knows how to rile people up...),(He really knows how to rile people up...),アニエス,（ヴァンさんったら……）,（ヴァンさんったら……）,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
