gameId,fname,scene,row,engChrName,engSearchText,engHtmlText,jpnChrName,jpnSearchText,jpnHtmlText,opName,pcIconHtml,evoIconHtml
m7600,1,1,Agnes,...!,...!,アニエス,……！,"<audio id=""v01_60139""><source src=""talk/11/v01_60139.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v01_60139').play()"">……！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
m7600,1,24,Agnes,"I'm very much my own woman, and that's not about to change.","I'm very much my own woman, and that's not about<br/>to change.",アニエス,まだまだ半人前ですけど あくまで私ならではの“色”で。,"<audio id=""v01_10074_rk""><source src=""talk/11/v01_10074_rk.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v01_10074_rk').play()"">まだまだ半人前ですけど<br/>あくまで私ならではの“色”で。</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
m7600,1,25,Agnes,"Your way isn't black, white, or even gray. You said it's like the color of the dark blue sky just before dawn...","Your way isn't black, white, or even gray. You said it's<br/>like the color of the dark blue sky just before dawn...",アニエス,黒でもない、白でもない！ ましてや灰色ですらない──,"<audio id=""v01_60143""><source src=""talk/11/v01_60143.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v01_60143').play()"">黒でもない、白でもない！<br/>ましてや灰色ですらない──</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
m7600,1,26,Agnes,"...but to me, it's like the dawn itself. It's a warm, comforting light that illuminates our way and breaks through the darkest nights.","...but to me, it's like the dawn itself. It's a warm,<br/>comforting light that illuminates our way and<br/>breaks through the darkest nights.",アニエス,夜明け前の優しい暗がりみたいに 寄り添ってくれる貴方だけの色が──,"<audio id=""v01_60144""><source src=""talk/11/v01_60144.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v01_60144').play()"">夜明け前の優しい暗がりみたいに<br/>寄り添ってくれる貴方だけの色が──</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
m7600,1,27,Agnes,And I never want to part from that light again! We aren't going to let you go—no matter what!,And I never want to part from that light again!<br/>We aren't going to let you go—no matter what!,アニエス,どうしようもなく愛おしくて 何があっても失いたくはないから！！,"<audio id=""v01_60145""><source src=""talk/11/v01_60145.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v01_60145').play()"">どうしようもなく愛おしくて<br/>何があっても失いたくはないから！！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
m7600,1,28,???,...!,...!,？？？,………！…………,………！…………,,
m7600,1,29,Aaron,"You wanna up and leave us that bad, huh? Well, normally I'd say, 'Eh, that's your call. So long, my dude.'","You wanna up and leave us that bad, huh?<br/>Well, normally I'd say, 'Eh, that's your call. So long,<br/>my dude.'",アーロン,ハッ、てめえが居なくなろうが 俺はどうだっていいけどな。,"<audio id=""v03_60101""><source src=""talk/11/v03_60101.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v03_60101').play()"">ハッ、てめえが居なくなろうが<br/>俺はどうだっていいけどな。</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0002_out.webp""/>"
m7600,1,30,Aaron,"But you've still got an outstanding debt, so I'm not letting you bail on me.","But you've still got an outstanding debt, so I'm not<br/>letting you bail on me.",アーロン,ただ貸し逃げは許さねえってだけだ。,"<audio id=""v03_60102""><source src=""talk/11/v03_60102.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v03_60102').play()"">ただ貸し逃げは許さねえってだけだ。</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0002_out.webp""/>"
m7600,1,31,Ferry,Yeah! I'll drag you back by the collar if I have to!,Yeah! I'll drag you back by the collar if I have to!,フェリ,そうですっ……！ クルガの戦士としてもあり得ません！,"<audio id=""v02_60096""><source src=""talk/11/v02_60096.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v02_60096').play()"">そうですっ……！<br/>クルガの戦士としてもあり得ません！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>"
m7600,1,32,Quatre,"Let us help you, Van. You always stick your neck out for us, so why can't we return the favor?","Let us help you, Van. You always stick your neck out<br/>for us, so why can't we return the favor?",カトル,僕も同じかな……大体ヴァンさん、 いちいち矛盾してない？,"<audio id=""v05_60088""><source src=""talk/11/v05_60088.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v05_60088').play()"">僕も同じかな……大体ヴァンさん、<br/>いちいち矛盾してない？</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0004_out.webp""/>"
m7600,1,33,Quatre,"If we were in your shoes, you'd rush to our aid without a second thought! Don't deny it!","If we were in your shoes, you'd rush to our aid<br/>without a second thought! Don't deny it!",カトル,仮に僕たちが貴方と同じ立場だったら 絶対に</B>放っておかないよねぇ？,"<audio id=""v05_60089""><source src=""talk/11/v05_60089.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v05_60089').play()"">仮に僕たちが貴方と同じ立場だったら<br/>絶対に</B>放っておかないよねぇ？</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0004_out.webp""/>"
m7600,1,34,???,...,...,？？？,………っ………………,"<audio id=""v00_60203""><source src=""talk/11/v00_60203.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v00_60203').play()"">………っ………………</a>",,
m7600,1,35,Lisette,"Heehee. I'm afraid he's got you there, Mr. Arkride. I can easily picture that happening.","Heehee. I'm afraid he's got you there, Mr. Arkride.<br/>I can easily picture that happening.",リゼット,ふふ……そうですね。 それだけは容易に想像が付きます。,"<audio id=""v04_60097""><source src=""talk/11/v04_60097.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v04_60097').play()"">ふふ……そうですね。<br/>それだけは容易に想像が付きます。</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5005_out.webp""/>"
m7600,1,36,Lisette,"If any of us were in danger, you would move heaven and earth itself to ensure our safety.","If any of us were in danger, you would move heaven<br/>and earth itself to ensure our safety.",リゼット,どれほどの困難があったとしても 疑問の入る余地すらなく。,"<audio id=""v04_60098""><source src=""talk/11/v04_60098.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v04_60098').play()"">どれほどの困難があったとしても<br/>疑問の入る余地すらなく。</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5005_out.webp""/>"
m7600,1,37,Judith,"Once a softie, always a softie. Honestly, you should drop the whole 'I'm not good or bad' thing.","Once a softie, always a softie. Honestly, you should<br/>drop the whole 'I'm not good or bad' thing.",ジュディス,あー、確かにそうでしょうね。 な～にが白黒付けないんだか。,"<audio id=""v06_60087""><source src=""talk/11/v06_60087.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v06_60087').play()"">あー、確かにそうでしょうね。<br/>な～にが白黒付けないんだか。</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5007_out.webp""/>"
m7600,1,38,Judith,"You're just a teensy bit too young for the weary warrior act, don't you think?","You're just a teensy bit too young for the weary<br/>warrior act, don't you think?",ジュディス,苦み走ったクールキャラは まだちょっと早いんじゃないの～？,"<audio id=""v06_60088""><source src=""talk/11/v06_60088.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v06_60088').play()"">苦み走ったクールキャラは<br/>まだちょっと早いんじゃないの～？</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5007_out.webp""/>"
m7600,1,39,???,Everyone... Why...?,Everyone... Why...?,？？？,…………お前……ら………………,"<audio id=""v00_60204""><source src=""talk/11/v00_60204.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v00_60204').play()"">…………お前……ら………………</a>",,
m7600,1,40,Bellegarde,You have actively forged many bonds throughout this year. I'm afraid this is simply karma at work.,You have actively forged many bonds throughout<br/>this year. I'm afraid this is simply karma at work.,ベルガルド,これがおぬしがこの世で為した 縁にして絆、そして業（カルマ）であろう。,"<audio id=""v07_60087""><source src=""talk/11/v07_60087.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v07_60087').play()"">これがおぬしがこの世で為した<br/>縁にして絆、そして業（カルマ）であろう。</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0006_out.webp""/>"
m7600,1,41,Bellegarde,"Don't think you can run away from them so easily, young man.","Don't think you can run away from them so easily,<br/>young man.",ベルガルド,ゆめ逃れられるなどと思わぬことだ。,"<audio id=""v07_60088""><source src=""talk/11/v07_60088.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v07_60088').play()"">ゆめ逃れられるなどと思わぬことだ。</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0006_out.webp""/>"
m7600,1,42,???,Master...,Master...,？？？,………………師父（せんせい）………………,"<audio id=""v00_60205""><source src=""talk/11/v00_60205.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v00_60205').play()"">………………師父（せんせい）………………</a>",,
m7600,1,43,Agnes,Wh-What's happening?!,Wh-What's happening?!,アニエス,！　ヴァンさん……！？,"<audio id=""v01_60146""><source src=""talk/11/v01_60146.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v01_60146').play()"">！　ヴァンさん……！？</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
m7600,1,44,???,\\u3000Damn it... This is way too soon!,\\u3000Damn it... This is way too soon!,？？？,　………クソが……………… …………早すぎるだろ…………,"<audio id=""v00_60206""><source src=""talk/11/v00_60206.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v00_60206').play()"">　………クソが………………<br/>…………早すぎるだろ…………</a>",,
m7600,1,45,???,"\\u3000\\u3000Get out of here, now!  It's going to...","\\u3000\\u3000Get out of here, now! <br/>It's going to...",？？？,　　いいから逃げろ……… ………このままじゃ…………！,"<audio id=""v00_60207""><source src=""talk/11/v00_60207.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v00_60207').play()"">　　いいから逃げろ………<br/>………このままじゃ…………！</a>",,
m7600,1,46,,WHO HAS AWOKEN ME FROM MY SLUMBER? \\u3000\\u3000\\u3000\\u3000\\u3000\\u3000\\u3000WAS IT YOU?,WHO HAS AWOKEN ME FROM MY SLUMBER?<br/>\\u3000\\u3000\\u3000\\u3000\\u3000\\u3000\\u3000WAS IT YOU?,,───我ヲ目覚メサセタルハ汝等カ───,"<audio id=""v39_60000""><source src=""talk/11/v39_60000.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v39_60000').play()"">───我ヲ目覚メサセタルハ汝等カ───</a>",,
m7600,1,47,Ferry,It's talking directly into my mind...,It's talking directly into my mind...,フェリ,頭に……響いて………,"<audio id=""v02_60097""><source src=""talk/11/v02_60097.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v02_60097').play()"">頭に……響いて………</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>"
m7600,1,48,Judith,What in the world... What's going on here?!,What in the world... What's going on here?!,ジュディス,なによこれ……何なの……！？,"<audio id=""v06_60089""><source src=""talk/11/v06_60089.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v06_60089').play()"">なによこれ……何なの……！？</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5007_out.webp""/>"
m7600,1,49,,"IN THIS WORLD, I AM THE BEING KNOWN AS \\u3000\\u3000\\u3000THE VAGRANT DEMON LORD.","IN THIS WORLD, I AM THE BEING KNOWN AS<br/>\\u3000\\u3000\\u3000THE VAGRANT DEMON LORD.",,　 ───我ハコノ可能世界ニオイテ─── ───《漂泊ノ魔王》ト呼称サレシモノ───,"<audio id=""v39_60001""><source src=""talk/11/v39_60001.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v39_60001').play()"">　 ───我ハコノ可能世界ニオイテ───<br/>───《漂泊ノ魔王》ト呼称サレシモノ───</a>",,
m7600,1,50,,I AM CONNECTED TO THE ONE YOU CALL VAN ARKRIDE THROUGH A DIABOLIC CORE.,I AM CONNECTED TO THE ONE YOU CALL<br/>VAN ARKRIDE THROUGH A DIABOLIC CORE.,,　　　　 ───《魔核（であぼりくこあ）》ヲ通ジテ─── ───ゔぁん・あーくらいどト繋ガッテイル───,"<audio id=""v39_60002""><source src=""talk/11/v39_60002.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v39_60002').play()"">　　　　 ───《魔核（であぼりくこあ）》ヲ通ジテ───<br/>───ゔぁん・あーくらいどト繋ガッテイル───</a>",,
m7600,1,51,Lisette,The demon that's been residing within Mr. Arkride must have taken control!,The demon that's been residing within Mr. Arkride<br/>must have taken control!,リゼット,ヴァン様と一体化した “魔王”そのものの人格……！？,"<audio id=""v04_60099""><source src=""talk/11/v04_60099.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v04_60099').play()"">ヴァン様と一体化した<br/>“魔王”そのものの人格……！？</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5005_out.webp""/>"
m7600,1,52,Quatre,B-But why? What happened to Van?,B-But why? What happened to Van?,カトル,ど、どうしていきなり……！？,"<audio id=""v05_60090""><source src=""talk/11/v05_60090.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v05_60090').play()"">ど、どうしていきなり……！？</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0004_out.webp""/>"
m7600,1,53,,MY FOOLISH VESSEL REBELLED AGAINST ME. \\u3000HE SOUGHT TO CHAIN ME TO THE VOID.,MY FOOLISH VESSEL REBELLED AGAINST ME.<br/>\\u3000HE SOUGHT TO CHAIN ME TO THE VOID.,,　　───我ガ依代ガ許可ナク─── ───我ヲ无限（ムゲン）に繋ガントシタタメ───,"<audio id=""v39_60003""><source src=""talk/11/v39_60003.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v39_60003').play()"">　　───我ガ依代ガ許可ナク───<br/>───我ヲ无限（ムゲン）に繋ガントシタタメ───</a>",,
m7600,1,54,,THE ENDLESS PASSAGE OF TIME HOLDS LITTLE MEANING TO A BEING SUCH AS MYSELF.,THE ENDLESS PASSAGE OF TIME HOLDS<br/>LITTLE MEANING TO A BEING SUCH AS MYSELF.,,───星霜ノ刻ハ我ニ然程ノ意味ヲ持タヌガ───,"<audio id=""v39_60004""><source src=""talk/11/v39_60004.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v39_60004').play()"">───星霜ノ刻ハ我ニ然程ノ意味ヲ持タヌガ───</a>",,
m7600,1,55,,"HOWEVER, SUCH BOUNDLESS ARROGANCE CANNOT GO UNPUNISHED.","HOWEVER, SUCH BOUNDLESS ARROGANCE<br/>CANNOT GO UNPUNISHED.",,───ソノ度シ難キ傲慢ハ許シガタシ───,"<audio id=""v39_60005""><source src=""talk/11/v39_60005.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v39_60005').play()"">───ソノ度シ難キ傲慢ハ許シガタシ───</a>",,
m7600,1,56,Bellegarde,Ugh!,Ugh!,ベルガルド,ぐうっ……！！,"<audio id=""v07_60089""><source src=""talk/11/v07_60089.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v07_60089').play()"">ぐうっ……！！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0006_out.webp""/>"
