gameId,fname,scene,row,engChrName,engSearchText,engHtmlText,jpnChrName,jpnSearchText,jpnHtmlText,opName,pcIconHtml,evoIconHtml
t1400,1,1,CHR_THIS,These settings are for checking mob placement during day/evening/night. Remove these once they are no longer needed.,These settings are for checking mob placement<br/>during day/evening/night. Remove these once they<br/>are no longer needed.,CHR_THIS,昼・夕・夜のモブ配置確認用です。 ※不要になりましたら削除をお願いいたします。,昼・夕・夜のモブ配置確認用です。<br/>※不要になりましたら削除をお願いいたします。,,
t1400,3,12,Customs Officer Rafale,"Smuggling takes many forms, but I'm pretty sure Heiyue doesn't do it the conventional way.","Smuggling takes many forms, but I'm pretty sure<br/>Heiyue doesn't do it the conventional way.",税関職員ラファール,密輸にも色々と形態はあるが…… 黒月はそれを巧みに使い分ける。,密輸にも色々と形態はあるが……<br/>黒月はそれを巧みに使い分ける。,,
t1400,3,13,Customs Officer Rafale,"Most do it at night, but as far as I know, Heiyue doesn't. Makes me think they've got other means of getting the job done.","Most do it at night, but as far as I know,<br/>Heiyue doesn't. Makes me think they've got other<br/>means of getting the job done.",税関職員ラファール,闇夜に紛れてというのは定番ではあるが…… 連中はそんな単純な手は使わんだろう。,闇夜に紛れてというのは定番ではあるが……<br/>連中はそんな単純な手は使わんだろう。,,
t1400,3,14,Customs Officer Rafale,"One of these days, though, I'll catch them in the act.","One of these days, though, I'll catch them in the act.",税関職員ラファール,だが……連中の下請けが迂闊に夜に 尻尾を出す可能性はあるからな。,だが……連中の下請けが迂闊に夜に<br/>尻尾を出す可能性はあるからな。,,
t1400,3,15,Customs Officer Rafale,"I bet one of their subcontractors will do it around this time someday, and when they do, I'll be on them in a flash.","I bet one of their subcontractors will do it around this<br/>time someday, and when they do, I'll be on them in<br/>a flash.",税関職員ラファール,少しの証拠でも見逃さないため、 監視を強化しているのだ。,少しの証拠でも見逃さないため、<br/>監視を強化しているのだ。,,
t1400,4,16,Faisal,I heard about the murders at the storehouse. There was a similar terrorist attack in a harbor located in the northern part of the Republic.,I heard about the murders at the storehouse.<br/>There was a similar terrorist attack in a harbor located<br/>in the northern part of the Republic.,ファイサル,倉庫街の方で事件か…… そういえば、共和国北部の港でもテロがあったとか。,倉庫街の方で事件か……<br/>そういえば、共和国北部の港でもテロがあったとか。,,
t1400,4,17,Faisal,Seeing two of Calvard's harbor cities come under fire is definitely nerve-racking.,Seeing two of Calvard's harbor cities come under fire<br/>is definitely nerve-racking.,ファイサル,この国の二大港湾都市で問題があるとなれば、 我々としても今後の影響は考慮せねばな。,この国の二大港湾都市で問題があるとなれば、<br/>我々としても今後の影響は考慮せねばな。,,
t1400,4,18,Faisal,More and more trading companies are turning to that private military company for protection.,More and more trading companies are turning to that<br/>private military company for protection.,ファイサル,最近では、民間警備会社に守ってもらう 貿易会社も増えつつあると聞くが……,最近では、民間警備会社に守ってもらう<br/>貿易会社も増えつつあると聞くが……,,
t1400,4,19,Faisal,"I don't really blame them, but knowing who their primary investor is, I can't help but feel wary...","I don't really blame them, but knowing who their<br/>primary investor is, I can't help but feel wary...",ファイサル,あの会社の出資者は……それを考えると どうにも割り切れんな。,あの会社の出資者は……それを考えると<br/>どうにも割り切れんな。,,
t1400,4,20,Faisal,I arrived here this morning only to learn that there were some gruesome murders last night.,I arrived here this morning only to learn that there<br/>were some gruesome murders last night.,ファイサル,私は今朝方到着したのだが、 聞けば昨晩何か騒ぎがあったとか。,私は今朝方到着したのだが、<br/>聞けば昨晩何か騒ぎがあったとか。,,
t1400,4,21,Faisal,We're willing to provide whatever aid the people need.,We're willing to provide whatever aid the<br/>people need.,ファイサル,大事に至っていないなら幸いだが、 もしもの事があれば我々も支援をしよう。,大事に至っていないなら幸いだが、<br/>もしもの事があれば我々も支援をしよう。,,
t1400,4,22,Faisal,"If there's chaos in the Republic's major harbors, it'll definitely have a trickle down effect on Elsaim.","If there's chaos in the Republic's major harbors, it'll<br/>definitely have a trickle down effect on Elsaim.",ファイサル,共和国随一の港湾都市で混乱があれば、 我がエルザイム公国にも影響する可能性もあるしな。,共和国随一の港湾都市で混乱があれば、<br/>我がエルザイム公国にも影響する可能性もあるしな。,,
t1400,5,23,Chief Petty Officer Abrams,"After what happened at the storehouse, I want to strengthen security even further.","After what happened at the storehouse, I want to<br/>strengthen security even further.",エイブラムス海軍曹長,倉庫の方で事件があったようだな…… 海軍としても港の警備を強化する見込みだ。,倉庫の方で事件があったようだな……<br/>海軍としても港の警備を強化する見込みだ。,,
t1400,5,24,Chief Petty Officer Abrams,"Thankfully, the people above me agree. They seem adamant about working with the police now.","Thankfully, the people above me agree. They seem<br/>adamant about working with the police now.",エイブラムス海軍曹長,港を守るのも海軍の使命だ、上の方も何とか 警察と連携できる体制を作りたいらしい。,港を守るのも海軍の使命だ、上の方も何とか<br/>警察と連携できる体制を作りたいらしい。,,
t1400,5,25,Chief Petty Officer Abrams,We upped our security after we heard about what happened in the Eastern Quarter. Better safe than sorry.,We upped our security after we heard about what<br/>happened in the Eastern Quarter. Better safe<br/>than sorry.,エイブラムス海軍曹長,昨夜の霧については、今の所は港には 影響は出ていないが、念のために警戒を強めている。,昨夜の霧については、今の所は港には<br/>影響は出ていないが、念のために警戒を強めている。,,
t1400,5,26,Chief Petty Officer Abrams,Its our job to protect the harbor and the ships—as well as the sea lane.,Its our job to protect the harbor and the ships—as<br/>well as the sea lane.,エイブラムス海軍曹長,我々も海路（シーレーン）を守ってきた誇りがある。 港と船の安全に関わる以上は無視はできないのでな。,我々も海路（シーレーン）を守ってきた誇りがある。<br/>港と船の安全に関わる以上は無視はできないのでな。,,
t1400,5,27,Chief Petty Officer Abrams,"Sadly, some of the naval officers are negligent in that regard. They even deal in the black market sometimes...","Sadly, some of the naval officers are negligent in<br/>that regard. They even deal in the black<br/>market sometimes...",エイブラムス海軍曹長,しかし……我々の中にも、不正や横流しをする 軍人もいるようだから恥ずかしい限りだ……,しかし……我々の中にも、不正や横流しをする<br/>軍人もいるようだから恥ずかしい限りだ……,,
t1400,5,28,Chief Petty Officer Abrams,Up ahead is the naval port for the Republican Navy and the South Sea Armada. Entry beyond this point is strictly prohibited.,Up ahead is the naval port for the Republican Navy<br/>and the South Sea Armada. Entry beyond this point<br/>is strictly prohibited.,エイブラムス海軍曹長,この先は共和国海軍・南海艦隊の軍港だ、 許可証無しでの立ち入りは禁じられている。,この先は共和国海軍・南海艦隊の軍港だ、<br/>許可証無しでの立ち入りは禁じられている。,,
t1400,5,29,Chief Petty Officer Abrams,"A year and a half ago, our navy could go toe to toe with the Empire's. Calvard invests more into their air fleet these days, though.","A year and a half ago, our navy could go toe to toe<br/>with the Empire's. Calvard invests more into their air<br/>fleet these days, though.",エイブラムス海軍曹長,飛行艦隊の活躍に隠れがちだが、一年半前にも 海軍は帝国相手に互角以上に戦い抜いたんだ。,飛行艦隊の活躍に隠れがちだが、一年半前にも<br/>海軍は帝国相手に互角以上に戦い抜いたんだ。,,
t1400,5,30,Chief Petty Officer Abrams,But our ships are still pretty impressive. You should check them out during the next naval review at the Revolution Festival.,But our ships are still pretty impressive. You should<br/>check them out during the next naval review at the<br/>Revolution Festival.,エイブラムス海軍曹長,その雄姿を見ようとやって来る者も多いが…… 生憎、観艦式は革命記念祭まで予定が無いのでな。,その雄姿を見ようとやって来る者も多いが……<br/>生憎、観艦式は革命記念祭まで予定が無いのでな。,,
t1400,5,31,Chief Petty Officer Abrams,Our navy is supposed to get a slew of new equipment soon. There might be some new weapons among them.,Our navy is supposed to get a slew of new<br/>equipment soon. There might be some new weapons<br/>among them.,エイブラムス海軍曹長,我が海軍も近いうちに装備を刷新する予定でな。 画期的な新兵装も、ある程度は回って来るとか。,我が海軍も近いうちに装備を刷新する予定でな。<br/>画期的な新兵装も、ある程度は回って来るとか。,,
t1400,5,32,Chief Petty Officer Abrams,We'll definitely use this opportunity to modernize the navy. We have to make our president proud.,We'll definitely use this opportunity to modernize<br/>the navy. We have to make our president proud.,エイブラムス海軍曹長,それを機に海軍も艦隊の更なる近代化ができれば、 大統領閣下のご期待にも沿えるだろう。,それを機に海軍も艦隊の更なる近代化ができれば、<br/>大統領閣下のご期待にも沿えるだろう。,,
t1400,6,33,Navy Ensign Grassley,I heard there was a mafia-related incident at the storehouse. Not that it matters to me.,I heard there was a mafia-related incident at<br/>the storehouse. Not that it matters to me.,グラスレー海軍少尉,倉庫でマフィア絡みの事件があったのか…… まあ、別にそれ自体は知った事じゃねぇが……,倉庫でマフィア絡みの事件があったのか……<br/>まあ、別にそれ自体は知った事じゃねぇが……,,
t1400,6,34,Navy Ensign Grassley,"It's been a pretty big nuisance, though. Hard to do much of anything with all these cops and bracers buzzing about.","It's been a pretty big nuisance, though. Hard to do<br/>much of anything with all these cops and bracers<br/>buzzing about.",グラスレー海軍少尉,警察や遊撃士の連中が港に居座ってると 動きにくいったらありゃしねぇな。,警察や遊撃士の連中が港に居座ってると<br/>動きにくいったらありゃしねぇな。,,
t1400,6,35,Navy Ensign Grassley,But all storms pass with time.,But all storms pass with time.,グラスレー海軍少尉,まあ……それも時間が解決するだろうけどな。,まあ……それも時間が解決するだろうけどな。,,
t1400,6,36,Navy Ensign Grassley,I have no clue what happened in the Eastern Quarter last night.,I have no clue what happened in the Eastern Quarter<br/>last night.,グラスレー海軍少尉,昨晩は東方人街の方が妙な感じに なっていたが……ありゃあ何なんだ？,昨晩は東方人街の方が妙な感じに<br/>なっていたが……ありゃあ何なんだ？,,
t1400,6,37,Navy Ensign Grassley,All I know is that it's drawn the cops' and navy's attention away from here.,All I know is that it's drawn the cops' and navy's<br/>attention away from here.,グラスレー海軍少尉,まあ、警察やら海軍の注意があちこちに バラけるのは好都合ではあるな。,まあ、警察やら海軍の注意があちこちに<br/>バラけるのは好都合ではあるな。,,
t1400,6,38,Navy Ensign Grassley,"It's time to strike while the iron's hot. We don't normally do our 'trade' business in the day, but we can't pass this opportunity up.","It's time to strike while the iron's hot. We don't<br/>normally do our 'trade' business in the day, but we<br/>can't pass this opportunity up.",グラスレー海軍少尉,ちと早めにはなるが、今のうちに 不都合な事は諸々揉み消しておくか……,ちと早めにはなるが、今のうちに<br/>不都合な事は諸々揉み消しておくか……,,
t1400,6,39,Navy Ensign Grassley,"Okay, that should be the last of today's goods. Let's load these up on the double.","Okay, that should be the last of today's goods.<br/>Let's load these up on the double.",グラスレー海軍少尉,ふん、今日の品はさっきので全部だ。 今のうちに積み込んでおけよ。,ふん、今日の品はさっきので全部だ。<br/>今のうちに積み込んでおけよ。,,
t1400,6,40,Navy Ensign Grassley,"The cops and the guild are busy dealing with the mafia, so now's the time to make some dough.","The cops and the guild are busy dealing with the<br/>mafia, so now's the time to make some dough.",グラスレー海軍少尉,今なら、警察やギルドも マフィアで手一杯のはずだ。,今なら、警察やギルドも<br/>マフィアで手一杯のはずだ。,,
t1400,6,41,Navy Ensign Grassley,"As long as we're careful, we'll make out like a bandit, and my coworkers will be none the wiser.","As long as we're careful, we'll make out like a bandit,<br/>and my coworkers will be none the wiser.",グラスレー海軍少尉,うちの海軍も頭硬いのが多いしな。 ヘマしない限り気づきやしねぇだろうさ。,うちの海軍も頭硬いのが多いしな。<br/>ヘマしない限り気づきやしねぇだろうさ。,,
t1400,6,42,Van,(These two are up to no good. Guess a harbor city like Langport's bound to attract guys like them.),(These two are up to no good. Guess a harbor city<br/>like Langport's bound to attract guys like them.),ヴァン,（こいつらは……ハッ、これも巨大港湾都市の   一つの顔ってところなんだろうが。）,（こいつらは……ハッ、これも巨大港湾都市の<br/>  一つの顔ってところなんだろうが。）,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
t1400,6,43,Aaron,"(Yeah. Heiyue doesn't have as firm a grip over the harbor, but you still have to have a lot of guts to attempt something like this.)","(Yeah. Heiyue doesn't have as firm a grip over the<br/>harbor, but you still have to have a lot of guts to<br/>attempt something like this.)",アーロン,（ああ、この辺りは黒月の目も   万全じゃねえとはいえ、大した度胸だぜ。）,（ああ、この辺りは黒月の目も<br/>  万全じゃねえとはいえ、大した度胸だぜ。）,,"<img class=""itp-kuro"" src=""itp/11/avfc0002_out.webp""/>"
t1400,6,44,Navy Ensign Grassley,"Productivity's been down recently, but we can make up for it now. The mafia's basically doing us a favor here.","Productivity's been down recently, but we can make<br/>up for it now. The mafia's basically doing us a<br/>favor here.",グラスレー海軍少尉,ふん、最近は色々とやりにくい事もあったが、 混乱があるなら好都合というものだ……,ふん、最近は色々とやりにくい事もあったが、<br/>混乱があるなら好都合というものだ……,,
t1400,7,45,Rosaro,The murders just keep happening...,The murders just keep happening...,ロザロ,また死人まで出ちまうとはよ……,また死人まで出ちまうとはよ……,,
t1400,7,46,Rosaro,"The antique sellers are all terrified, and I'm right there with them.","The antique sellers are all terrified, and I'm right<br/>there with them.",ロザロ,オイラには関係無いとは思いてェが…… 古物屋が妙に怯えてんのが気掛かりで仕方ねェ。,オイラには関係無いとは思いてェが……<br/>古物屋が妙に怯えてんのが気掛かりで仕方ねェ。,,
t1400,7,47,Rosaro,"I'm not sure if the mafia's responsible for all this, but if they are, I REALLY hope someone clears 'em out...","I'm not sure if the mafia's responsible for all this, but<br/>if they are, I REALLY hope someone clears<br/>'em out...",ロザロ,北のマフィアも何してたのか分からねェし…… つくづく不気味なもんだなァ……,北のマフィアも何してたのか分からねェし……<br/>つくづく不気味なもんだなァ……,,
t1400,7,48,Rosaro,I heard people in the Eastern Quarter were murdered in cold blood... Gah! A chill just ran down my spine!,I heard people in the Eastern Quarter were murdered<br/>in cold blood... Gah! A chill just ran down my spine!,ロザロ,昨日は東方人街じゃあの霧ン中で殺しまで あったっていうが……不気味で仕方ねェ！,昨日は東方人街じゃあの霧ン中で殺しまで<br/>あったっていうが……不気味で仕方ねェ！,,
t1400,7,49,Rosaro,I wonder if the mafia was behind the attack?,I wonder if the mafia was behind the attack?,ロザロ,例の最近来たっつうマフィアと、何か関係でも ありやがるってんのかァ……？,例の最近来たっつうマフィアと、何か関係でも<br/>ありやがるってんのかァ……？,,
t1400,7,50,Rosaro,"S-Surely they wouldn't pick a fight with the navy, right? Hopefully Glasley will protect me...","S-Surely they wouldn't pick a fight with the<br/>navy, right? Hopefully Glasley will protect me...",ロザロ,さ、流石に連中も軍にケンカは売らねぇだろうし、 グラスレーの旦那が付いてるオイラは大丈夫と信じてェが……,さ、流石に連中も軍にケンカは売らねぇだろうし、<br/>グラスレーの旦那が付いてるオイラは大丈夫と信じてェが……,,
t1400,7,51,Rosaro,I was freakin' out when that fight broke out this afternoon.,I was freakin' out when that fight broke out<br/>this afternoon.,ロザロ,昼間はあっちの古物屋が喧嘩に巻き込まれて、 オイラもどうなるかと焦りやしたが……,昼間はあっちの古物屋が喧嘩に巻き込まれて、<br/>オイラもどうなるかと焦りやしたが……,,
t1400,7,52,Rosaro,"But you were as cool as a cucumber, Glasley.","But you were as cool as a cucumber, Glasley.",ロザロ,流石はグラスレーの旦那ですぜ、 肝が据わってらっしゃる。,流石はグラスレーの旦那ですぜ、<br/>肝が据わってらっしゃる。,,
t1400,7,53,Rosaro,I feel so much safer with you around.,I feel so much safer with you around.,ロザロ,あんたとなら、品を流す手伝いも 長くやってけそうですぜ。,あんたとなら、品を流す手伝いも<br/>長くやってけそうですぜ。,,
t1400,8,54,Street vendor Guhan,"Wait, what? Some of those gangsters were killed?","Wait, what? Some of those gangsters were killed?",露天商グハン,半グレ共まで殺されちまったのか……,半グレ共まで殺されちまったのか……,,
t1400,8,55,Street vendor Guhan,Why is this the first time I'm hearing of this?,Why is this the first time I'm hearing of this?,露天商グハン,こんなに死人が出るなんて聞いてねぇよ……,こんなに死人が出るなんて聞いてねぇよ……,,
t1400,8,56,Street vendor Guhan,What the hell have I gotten myself into?,What the hell have I gotten myself into?,露天商グハン,マジで俺、とんでもねぇ事に 関わっちまったんじゃねぇか……,マジで俺、とんでもねぇ事に<br/>関わっちまったんじゃねぇか……,,
t1400,8,57,Street vendor Guhan,Damn it. I don't know what I'm gonna do. I can't exactly go crawling to Heiyue for help...,Damn it. I don't know what I'm gonna do. I can't<br/>exactly go crawling to Heiyue for help...,露天商グハン,畜生、どうすりゃいいんだよ…… 今更黒月にも頼れねぇしよぉ……,畜生、どうすりゃいいんだよ……<br/>今更黒月にも頼れねぇしよぉ……,,
t1400,8,58,Street vendor Guhan,I heard those gangsters were involved in the Eastern Quarter murders.,I heard those gangsters were involved in the Eastern<br/>Quarter murders.,露天商グハン,東方人街であったっていう殺しだが…… 例の半グレ共が絡んでいたって……？,東方人街であったっていう殺しだが……<br/>例の半グレ共が絡んでいたって……？,,
t1400,8,59,Street vendor Guhan,To think those guys would go that far...,To think those guys would go that far...,露天商グハン,おいおい、洒落にならねぇっていうか…… まさか俺に絡んだ連中がそこまでやるとは……,おいおい、洒落にならねぇっていうか……<br/>まさか俺に絡んだ連中がそこまでやるとは……,,
t1400,8,60,Street vendor Guhan,This thing's turning into a hot mess.,This thing's turning into a hot mess.,露天商グハン,……まさか、予想以上の大事に 巻き込まれちまっているんじゃ……？,……まさか、予想以上の大事に<br/>巻き込まれちまっているんじゃ……？,,
t1400,8,61,Street vendor Guhan,"Guess those gangsters aren't gonna drop in tonight, either. Those guys can be a real pain in the neck.","Guess those gangsters aren't gonna drop in<br/>tonight, either. Those guys can be a real pain in<br/>the neck.",露天商グハン,今夜は流石に半グレ共も来ねぇか…… まったく、あの連中には参ったもんだよ。,今夜は流石に半グレ共も来ねぇか……<br/>まったく、あの連中には参ったもんだよ。,,
t1400,8,62,Street vendor Guhan,I hear they've been stirring up trouble for people. They really are just a bunch of rude little shits.,I hear they've been stirring up trouble for people.<br/>They really are just a bunch of rude little shits.,露天商グハン,あちこちを荒らしてるって言うし、俺みたいな 奴から見ても……ろくでもない連中だ。,あちこちを荒らしてるって言うし、俺みたいな<br/>奴から見ても……ろくでもない連中だ。,,
t1400,8,63,Street vendor Guhan,I can't imagine what kids like them would want with something so old.,I can't imagine what kids like them would want with<br/>something so old.,露天商グハン,しかし……何であんなハジけた連中が、 あの古ぼけた品を欲しがるんだろうなぁ……,しかし……何であんなハジけた連中が、<br/>あの古ぼけた品を欲しがるんだろうなぁ……,,
t1400,9,64,Bracer Shaolin,"We just finished inspecting the scene, and all the bodies have been collected as well...","We just finished inspecting the scene, and all the<br/>bodies have been collected as well...",遊撃士シャオリン,ようやく現場検証が終わった所よ。 ……遺体も回収したけど、あれは……,ようやく現場検証が終わった所よ。<br/>……遺体も回収したけど、あれは……,,
t1400,9,65,Bracer Shaolin,"Hey, Aaron. I'm sure you don't need me to tell you this, but Almata's leaders are bad news.","Hey, Aaron. I'm sure you don't need me to tell you<br/>this, but Almata's leaders are bad news.",遊撃士シャオリン,アーロン、お前ももう判っているはず。 アルマータの幹部がどれだけ危険か。,アーロン、お前ももう判っているはず。<br/>アルマータの幹部がどれだけ危険か。,,
t1400,9,66,Bracer Shaolin,"I'm almost certain one of them is former military. You're not on their level yet, so I want you to—","I'm almost certain one of them is former military.<br/>You're not on their level yet, so I want you to—",遊撃士シャオリン,一人は恐らく軍人上がり── “素人”のお前とはワケが違うよ。,一人は恐らく軍人上がり──<br/>“素人”のお前とはワケが違うよ。,,
t1400,9,67,Aaron,You better not be telling me to stay away from them—because I won't hear it!,You better not be telling me to stay away from<br/>them—because I won't hear it!,アーロン,ハッ……ンな事は百も承知だっつの。 イチイチ絡んでくるんじゃねえよ！,ハッ……ンな事は百も承知だっつの。<br/>イチイチ絡んでくるんじゃねえよ！,,"<img class=""itp-kuro"" src=""itp/11/avfc0002_out.webp""/>"
t1400,9,68,Aaron,"I know they're stronger than me, but those bastards are tearing up my town... And they murdered my friends in cold blood...","I know they're stronger than me, but those bastards<br/>are tearing up my town... And they murdered my<br/>friends in cold blood...",アーロン,だがな、街を好き放題荒らされて、 仲間もあんな風にされて……,だがな、街を好き放題荒らされて、<br/>仲間もあんな風にされて……,,"<img class=""itp-kuro"" src=""itp/11/avfc0002_out.webp""/>"
t1400,9,69,Aaron,So don't you DARE tell me what to do. You don't understand jack shit about what I'm going through!,So don't you DARE tell me what to do. You don't<br/>understand jack shit about what I'm going through!,アーロン,ハッ、高尚な遊撃士サマに 何が分かるってんだ、アア！？,ハッ、高尚な遊撃士サマに<br/>何が分かるってんだ、アア！？,,"<img class=""itp-kuro"" src=""itp/11/avfc0002_out.webp""/>"
t1400,9,70,Bracer Shaolin,Excuse me?! You think I don't understand?!,Excuse me?! You think I don't understand?!,遊撃士シャオリン,フン、わかるに決まってるね……！,フン、わかるに決まってるね……！,,
t1400,9,71,Bracer Shaolin,"Well, guess what? I do. You're not the only one who's pissed off, you know!","Well, guess what? I do. You're not the only one who's<br/>pissed off, you know!",遊撃士シャオリン,あたしだってハラワタ煮えるほどね！！,あたしだってハラワタ煮えるほどね！！,,
t1400,9,72,Bracer Shaolin,"I wasn't trying to tell you to stay away from them, I was going to tell you to be careful.","I wasn't trying to tell you to stay away from them, I<br/>was going to tell you to be careful.",遊撃士シャオリン,でもねアーロン、許せないからこそ 今は慎重に、確実に動くべきね。,でもねアーロン、許せないからこそ<br/>今は慎重に、確実に動くべきね。,,
t1400,9,73,Bracer Shaolin,"If you throw caution to the wind, you'll be playing right into their hands. Who would get justice for your friends if that happened?","If you throw caution to the wind, you'll be playing<br/>right into their hands. Who would get justice for your<br/>friends if that happened?",遊撃士シャオリン,それが本当の手向けに繋がる── お前ももう判っているハズよ。,それが本当の手向けに繋がる──<br/>お前ももう判っているハズよ。,,
t1400,9,74,Aaron,...,...,アーロン,…………っ…………,…………っ…………,,"<img class=""itp-kuro"" src=""itp/11/avfc0002_out.webp""/>"
t1400,9,75,Van,She's got you there.,She's got you there.,ヴァン,……別にお前が間違ってるワケじゃねえ。,……別にお前が間違ってるワケじゃねえ。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
t1400,9,76,Van,"I understand how you feel, but it can't hurt to keep her advice in mind.","I understand how you feel, but it can't hurt to keep<br/>her advice in mind.",ヴァン,ただちっとは年上の言葉、 気に留めておいて損は無いぜ。,ただちっとは年上の言葉、<br/>気に留めておいて損は無いぜ。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
t1400,9,77,Aaron,...Fine.,...Fine.,アーロン,……チッ、わーったよ。,……チッ、わーったよ。,,"<img class=""itp-kuro"" src=""itp/11/avfc0002_out.webp""/>"
t1400,9,78,Aaron,But it doesn't change what I have to do.,But it doesn't change what I have to do.,アーロン,せいぜい覚えておいてはやるが…… オレのやる事は変わらねぇからな。,せいぜい覚えておいてはやるが……<br/>オレのやる事は変わらねぇからな。,,"<img class=""itp-kuro"" src=""itp/11/avfc0002_out.webp""/>"
t1400,9,79,Bracer Shaolin,"Thanks to Calvin and Hornet, the police and the bracers are working together.","Thanks to Calvin and Hornet, the police and the<br/>bracers are working together.",遊撃士シャオリン,カルビンやホーネットのお陰で警察とも ある程度、互いの方針が擦り合わせられたね。,カルビンやホーネットのお陰で警察とも<br/>ある程度、互いの方針が擦り合わせられたね。,,
t1400,9,80,Bracer Shaolin,The cops are handling the arrests and are searching for Almata's whereabouts.,The cops are handling the arrests and are searching<br/>for Almata's whereabouts.,遊撃士シャオリン,やはり警察はマフィアの検挙とルートの 洗い出しが最優先になるみたい。,やはり警察はマフィアの検挙とルートの<br/>洗い出しが最優先になるみたい。,,
t1400,9,81,Bracer Shaolin,"We'll handle things from here, spriggan. You go kick butt out there—and try to keep Aaron out of harm's way, all right?","We'll handle things from here, spriggan. You go kick<br/>butt out there—and try to keep Aaron out of harm's<br/>way, all right?",遊撃士シャオリン,そして裏解決屋……言えた義理じゃないけど、 その同門の跳ね返りをよろしくね……！,そして裏解決屋……言えた義理じゃないけど、<br/>その同門の跳ね返りをよろしくね……！,,
