gameId,fname,scene,row,engChrName,engSearchText,engHtmlText,jpnChrName,jpnSearchText,jpnHtmlText,opName,pcIconHtml,evoIconHtml
d0000,1,1,Semi-Gray,Here you go. Brought the goods.,Here you go. Brought the goods.,半グレ,ほらよ、コイツが指定のブツだ。,"<audio id=""v79_00000""><source src=""talk/11/v79_00000.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v79_00000').play()"">ほらよ、コイツが指定のブツだ。</a>",,
d0000,1,20,Semi-Gray,Hgh!,Hgh!,半グレ,ぐっ……！？,"<audio id=""v79_00004""><source src=""talk/11/v79_00004.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v79_00004').play()"">ぐっ……！？</a>",,
d0000,1,21,Semi-Gray,"Oh, you think we won't play?!","Oh, you think we won't play?!",半グレ,上等だコラアアア！！,"<audio id=""v81_00003""><source src=""talk/11/v81_00003.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v81_00003').play()"">上等だコラアアア！！</a>",,
d0000,1,22,Semi-Gray,E-Eeek!,E-Eeek!,半グレ,ひ、ひいいいっ！？,"<audio id=""v80_00004""><source src=""talk/11/v80_00004.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v80_00004').play()"">ひ、ひいいいっ！？</a>",,
d0000,1,23,Semi-Gray,Wh-What is this...?,Wh-What is this...?,半グレ,て、てめえら……,"<audio id=""v79_00005""><source src=""talk/11/v79_00005.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v79_00005').play()"">て、てめえら……</a>",,
d0000,1,24,mafia,Hmph. Should've known your place.,Hmph. Should've known your place.,マフィア,フン、半グレ風情が。,"<audio id=""v83_00004""><source src=""talk/11/v83_00004.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v83_00004').play()"">フン、半グレ風情が。</a>",,
d0000,1,25,mafia,Word to the wise: don't try to blackmail someone higher up on the food chain.,Word to the wise: don't try to blackmail someone<br/>higher up on the food chain.,マフィア,たかりは相手を見てするがいい。,"<audio id=""v84_00004""><source src=""talk/11/v84_00004.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v84_00004').play()"">たかりは相手を見てするがいい。</a>",,
d0000,1,26,Semi-Gray,Damn it! The cops!,Damn it! The cops!,半グレ,なっ……ポリか！？,"<audio id=""v81_00004""><source src=""talk/11/v81_00004.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v81_00004').play()"">なっ……ポリか！？</a>",,
d0000,1,27,Semi-Gray,When did they start patrolling down here?!,When did they start patrolling down here?!,半グレ,まさか──巡回かよぉっ！？,"<audio id=""v80_00005""><source src=""talk/11/v80_00005.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v80_00005').play()"">まさか──巡回かよぉっ！？</a>",,
d0000,1,28,mafia,Idiots. Must have been on your tail.,Idiots. Must have been on your tail.,マフィア,チッ…… お前たち、嗅ぎつけられたな？,"<audio id=""v83_00005""><source src=""talk/11/v83_00005.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v83_00005').play()"">チッ……<br/>お前たち、嗅ぎつけられたな？</a>",,
d0000,1,29,mafia,Let's just get out of—wh-what?,Let's just get out of—wh-what?,マフィア,まあいい、とっとと──,"<audio id=""v84_00005""><source src=""talk/11/v84_00005.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v84_00005').play()"">まあいい、とっとと──</a>",,
d0000,1,30,mafia,Where'd it go?,Where'd it go?,マフィア,いつの間に……,"<audio id=""v83_00006""><source src=""talk/11/v83_00006.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v83_00006').play()"">いつの間に……</a>",,
d0000,1,31,Semi-Gray,I-I don't know any better than you!,I-I don't know any better than you!,半グレ,ど、どこに消えやがった！？,"<audio id=""v79_00006""><source src=""talk/11/v79_00006.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v79_00006').play()"">ど、どこに消えやがった！？</a>",,
d0000,1,32,Police officer's voice,What are you doing down here?!,What are you doing down here?!,警官の声,お前たち、何をしている！？,"<audio id=""v86_00000""><source src=""talk/11/v86_00000.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v86_00000').play()"">お前たち、何をしている！？</a>",,
d0000,1,33,mafia,Tch.,Tch.,マフィア,チッ……,"<audio id=""v83_00007""><source src=""talk/11/v83_00007.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v83_00007').play()"">チッ……</a>",,
d0000,1,34,mafia,We're done. Let's scram.,We're done. Let's scram.,マフィア,仕方ない、一旦離脱する。,"<audio id=""v84_00006""><source src=""talk/11/v84_00006.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v84_00006').play()"">仕方ない、一旦離脱する。</a>",,
d0000,1,35,Semi-Gray,"We ain't gonna wait around to get busted, neither!","We ain't gonna wait around to get busted, neither!",半グレ,クソッ、俺らもズラかるぞ！！,"<audio id=""v81_00005""><source src=""talk/11/v81_00005.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v81_00005').play()"">クソッ、俺らもズラかるぞ！！</a>",,
d0000,1,36,Semi-Gray,Th-This wasn't how it was supposed to go!,Th-This wasn't how it was supposed to go!,半グレ,な、なんだってんだよぉお～！？,"<audio id=""v80_00006""><source src=""talk/11/v80_00006.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v80_00006').play()"">な、なんだってんだよぉお～！？</a>",,
d0000,1,37,Police officer,Suspects in sight!,Suspects in sight!,警官,不審集団を発見！,"<audio id=""v87_00000""><source src=""talk/11/v87_00000.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v87_00000').play()"">不審集団を発見！</a>",,
d0000,1,38,Police officer,Seems that tip paid off. Apprehend them!,Seems that tip paid off. Apprehend them!,警官,通報の半グレどもだ、捕まえろ！,"<audio id=""v86_00001""><source src=""talk/11/v86_00001.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v86_00001').play()"">通報の半グレどもだ、捕まえろ！</a>",,
d0000,1,39,Vulgar voice,Heh. Even those dumbasses in the police force have their uses once in a while.,Heh. Even those dumbasses in the police force have<br/>their uses once in a while.,下卑た声,クク……ボンクラの 首都警察にしちゃ上出来だぜ。,"<audio id=""v55_00000""><source src=""talk/11/v55_00000.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v55_00000').play()"">クク……ボンクラの<br/>首都警察にしちゃ上出来だぜ。</a>",,
d0000,1,40,Vulgar man,Thing's gotta be worth a shitton of mira if A wants it that bad.,Thing's gotta be worth a shitton of mira if A wants it<br/>that bad.,下卑た男,《Ａ》が捜してるっつうブツ、 ミラの匂いがプンプンしやがるぜ。,"<audio id=""v55_00001""><source src=""talk/11/v55_00001.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v55_00001').play()"">《Ａ》が捜してるっつうブツ、<br/>ミラの匂いがプンプンしやがるぜ。</a>",,
d0000,1,41,Vulgar man,Guess I should check the Blacklight District—or maybe 'there' would be a better place to start.,Guess I should check the Blacklight District—or<br/>maybe 'there' would be a better place to start.,下卑た男,黒芒街──いや、 あっちのヤサで調べてみるか。,"<audio id=""v55_00002""><source src=""talk/11/v55_00002.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v55_00002').play()"">黒芒街──いや、<br/>あっちのヤサで調べてみるか。</a>",,
