gameId,fname,scene,row,engChrName,engSearchText,engHtmlText,jpnChrName,jpnSearchText,jpnHtmlText,opName,pcIconHtml,evoIconHtml
c1200,1,1,CHR_THIS,These settings are for checking mob placement during day/evening/night. Remove these once they are no longer needed.,These settings are for checking mob placement<br/>during day/evening/night. Remove these once they<br/>are no longer needed.,CHR_THIS,昼・夕・夜のモブ配置確認用です。 ※不要になりましたら削除をお願いいたします。,昼・夕・夜のモブ配置確認用です。<br/>※不要になりましたら削除をお願いいたします。,,
c1200,3,15,Major,"I think they could use some tranquilizing herbs, though... I had them on some potent stuff back there. You don't wanna overdose on that.","I think they could use some tranquilizing<br/>herbs, though... I had them on some potent stuff<br/>back there. You don't wanna overdose on that.",メイジャ,とはいえ使いすぎは禁物…… あとで別のハーブで落ち着かせないとね。,とはいえ使いすぎは禁物……<br/>あとで別のハーブで落ち着かせないとね。,,
c1200,3,16,Major,"Man, they're really getting pelted up on the surface, huh?","Man, they're really getting pelted up on the<br/>surface, huh?",メイジャ,……なんでも地上は大変らしいわね？,……なんでも地上は大変らしいわね？,,
c1200,3,17,Major,"We don't have a complete picture of what's going on, but we don't turn away anybody who comes down here. That's our code.","We don't have a complete picture of what's going on,<br/>but we don't turn away anybody who comes<br/>down here. That's our code.",メイジャ,私たちも把握できてるわけじゃないけど、 来る者拒まずが黒芒街のルールよ。,私たちも把握できてるわけじゃないけど、<br/>来る者拒まずが黒芒街のルールよ。,,
c1200,3,18,Major,"They need a place to stay, we'll take them. And if they need a little pick-me-up? Well, we've got just the thing for that, too!","They need a place to stay, we'll take them. And if<br/>they need a little pick-me-up? Well, we've got just<br/>the thing for that, too!",メイジャ,せいぜい受け入れてあげましょう。 不安ならイイ薬もお渡しできるしね。,せいぜい受け入れてあげましょう。<br/>不安ならイイ薬もお渡しできるしね。,,
c1200,3,19,Major,"Y'know, I wasn't born in Calvard, but I still fit in here. I respect the Republic's values like that.","Y'know, I wasn't born in Calvard, but I still fit<br/>in here. I respect the Republic's values like that.",メイジャ,私は共和国の出身ではないけれど、 この国の理念は嫌いではないわよ。,私は共和国の出身ではないけれど、<br/>この国の理念は嫌いではないわよ。,,
c1200,3,20,Major,"Freedom and equality for all, regardless of color or creed...","Freedom and equality for all, regardless of color<br/>or creed...",メイジャ,国籍・人種に関わらず 自由と平等を謳う共和国憲章──,国籍・人種に関わらず<br/>自由と平等を謳う共和国憲章──,,
c1200,3,21,Major,"Society doesn't always do a good job sticking to those tenets, but it's nice to have them outlined right in the constitution.","Society doesn't always do a good job sticking to those<br/>tenets, but it's nice to have them outlined right in<br/>the constitution.",メイジャ,例えそれが形だけのものであってもね。,例えそれが形だけのものであってもね。,,
c1200,3,22,Major,"Even people like me can find the place for them— and for me, that's the Blacklight District. So yeah, I don't mind celebrating a bit!","Even people like me can find the place for them—<br/>and for me, that's the Blacklight District. So yeah, I<br/>don't mind celebrating a bit!",メイジャ,フフ、なんにせよ祝杯くらい上げましょうか。 私たちを受け入れてくれたこの国と黒芒街に。,フフ、なんにせよ祝杯くらい上げましょうか。<br/>私たちを受け入れてくれたこの国と黒芒街に。,,
c1200,3,23,Major,"Yo there. Got a new flavor in stock, if you wanna check it out.","Yo there. Got a new flavor in stock, if you wanna<br/>check it out.",メイジャ,ウフフ、いらっしゃい。 新作のフレーバーなんていかがかしら。,ウフフ、いらっしゃい。<br/>新作のフレーバーなんていかがかしら。,,
c1200,3,24,Major,"Twice the cost, but twice the concentration for twice the high—and it's no more addictive than the weaker stuff. Wanna give it a shot?","Twice the cost, but twice the concentration for twice<br/>the high—and it's no more addictive than the<br/>weaker stuff. Wanna give it a shot?",メイジャ,依存性はそのままに 値段とキメ具合を２倍にしてみたわ。,依存性はそのままに<br/>値段とキメ具合を２倍にしてみたわ。,,
c1200,3,25,Van,"Can't say I do, sorry. I'll pass.","Can't say I do, sorry. I'll pass.",ヴァン,いや、そういう品は遠慮しててな……,いや、そういう品は遠慮しててな……,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
c1200,3,26,Major,"Ah, that's a shame. I worked hard on it for the festival, y'know—I made sure it's worth the price.","Ah, that's a shame. I worked hard on it for the<br/>festival, y'know—I made sure it's worth the price.",メイジャ,そう、残念……記念祭に向けて 開発した渾身の品だったのだけど。,そう、残念……記念祭に向けて<br/>開発した渾身の品だったのだけど。,,
c1200,3,27,Major,"But no worries—if you don't want it, you don't want it. Oh, and I've still got all my usual stock, in case you're craving something else.","But no worries—if you don't want it, you don't<br/>want it. Oh, and I've still got all my usual stock, in<br/>case you're craving something else.",メイジャ,まあいいわ、いつもの品も入荷してるし また御贔屓にね。,まあいいわ、いつもの品も入荷してるし<br/>また御贔屓にね。,,
c1200,3,28,Ferry,"(It's kinda weird. It's still dark and gloomy down here, but it feels like everybody's really excited.)","(It's kinda weird. It's still dark and gloomy down here,<br/>but it feels like everybody's really excited.)",フェリ,（黒芒街……相変わらずですけど   どこかウキウキしてるような。）,（黒芒街……相変わらずですけど<br/>  どこかウキウキしてるような。）,,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>"
c1200,3,29,Agnes,(I guess even the Blacklight District gets swept up in the festival cheer.),(I guess even the Blacklight District gets swept up in<br/>the festival cheer.),アニエス,（あはは……こんな場所でも   お祭りが近いと賑わうみたいですね。）,（あはは……こんな場所でも<br/>  お祭りが近いと賑わうみたいですね。）,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
c1200,3,30,Major,I wish you'd try my new stuff. I poured a ton of work into it in time for the Revolution Festival. I just know it's worth your while.,I wish you'd try my new stuff. I poured a ton of work<br/>into it in time for the Revolution Festival. I just know<br/>it's worth your while.,メイジャ,残念、記念祭に向けて開発した 渾身の品だったのだけど。,残念、記念祭に向けて開発した<br/>渾身の品だったのだけど。,,
c1200,3,31,Major,"But hey, you do you. I've still got all my usual stock, so whatever you're in the market for, I've got'cha.","But hey, you do you. I've still got all my usual stock,<br/>so whatever you're in the market for, I've got'cha.",メイジャ,まあいいわ、いつもの品も入荷してるし また御贔屓にね。,まあいいわ、いつもの品も入荷してるし<br/>また御贔屓にね。,,
c1200,3,32,Major,"*sigh* Almata just had to go off the deep end, didn't they?","*sigh* Almata just had to go off the deep end,<br/>didn't they?",メイジャ,ふう、アルマータの連中 ここまでの事をしでかすなんてね……,ふう、アルマータの連中<br/>ここまでの事をしでかすなんてね……,,
c1200,3,33,Major,"I don't buy the whole 'show of force' bit, personally. There's gotta be more to it than that, just my gut feeling.","I don't buy the whole 'show of force' bit, personally.<br/>There's gotta be more to it than that, just my<br/>gut feeling.",メイジャ,武力の示威行為（デモンストレーション）…… でも果たしてそれだけなのかしら……？,武力の示威行為（デモンストレーション）……<br/>でも果たしてそれだけなのかしら……？,,
c1200,3,34,Major,"I'm feeling it, too—it's gone and knocked my supply routes out of commission. Business is gonna be real tough for a while...","I'm feeling it, too—it's gone and knocked my supply<br/>routes out of commission. Business is gonna be real<br/>tough for a while...",メイジャ,何にせよしばらくは仕入れルートも 使えないし、こっちまで動きづらいわね……,何にせよしばらくは仕入れルートも<br/>使えないし、こっちまで動きづらいわね……,,
c1200,3,35,Major,"I used to sell up on the surface until about two years ago. That was when those guys moved in and started dealing themselves—Almata, I mean.","I used to sell up on the surface until about two<br/>years ago. That was when those guys moved in and<br/>started dealing themselves—Almata, I mean.",メイジャ,私は２年前までオモテで売っていたのだけど、 その頃から連中が薬物関係を仕切り始めたのよね。,私は２年前までオモテで売っていたのだけど、<br/>その頃から連中が薬物関係を仕切り始めたのよね。,,
c1200,3,36,Major,"And man, they're ruthless. I couldn't tell you how many of my routes they've snatched up in those short years.","And man, they're ruthless. I couldn't tell you how<br/>many of my routes they've snatched up in those<br/>short years.",メイジャ,……そう、アルマータの連中よ。 私の取引ルートもいくつも潰されて……,……そう、アルマータの連中よ。<br/>私の取引ルートもいくつも潰されて……,,
c1200,3,37,Major,"I could swear they were after my head at one point. I went underground after that, and I don't regret that decision one bit.","I could swear they were after my head at one point.<br/>I went underground after that, and I don't regret that<br/>decision one bit.",メイジャ,流石に身の危険を感じて地下に潜ったの。 今でも英断だったと思ってるわ。,流石に身の危険を感じて地下に潜ったの。<br/>今でも英断だったと思ってるわ。,,
c1200,3,38,Major,"Blacklight's a good place to be. We have the boss watching out for us—A can't come slithering in like they usually do. It's safe here, y'know?","Blacklight's a good place to be. We have the boss<br/>watching out for us—A can't come slithering in like<br/>they usually do. It's safe here, y'know?",メイジャ,黒芒街（ここ）には顔役もいるし、連中も 簡単には手が出せないから、まだ安心よ。,黒芒街（ここ）には顔役もいるし、連中も<br/>簡単には手が出せないから、まだ安心よ。,,
c1200,3,39,Major,"My herbs get pretty good reviews—I promise you'll have a good time. Just take them in moderation, of course... Heh heh.","My herbs get pretty good reviews—I promise you'll<br/>have a good time. Just take them in moderation,<br/>of course... Heh heh.",メイジャ,ウチのハーブは愛用者も多いのよね、フフフ…… 用法用量を守れば楽しくハイになれるわよ。,ウチのハーブは愛用者も多いのよね、フフフ……<br/>用法用量を守れば楽しくハイになれるわよ。,,
c1200,3,40,Major,And be careful who you do business with. Plenty of bad actors here in Edith who'll sell you dirty stuff. It can get you in real trouble.,And be careful who you do business with. Plenty of<br/>bad actors here in Edith who'll sell you dirty stuff.<br/>It can get you in real trouble.,メイジャ,とはいえ、首都には粗悪品を扱っている 悪徳業者もいるから気を付けなさいな。,とはいえ、首都には粗悪品を扱っている<br/>悪徳業者もいるから気を付けなさいな。,,
c1200,3,41,Major,"For a while, I remember A was trafficking these shady steroids.","For a while, I remember A was trafficking these<br/>shady steroids.",メイジャ,一時は《Ａ》の連中が 怪しい筋力増強剤を流していたっけ……,一時は《Ａ》の連中が<br/>怪しい筋力増強剤を流していたっけ……,,
c1200,3,42,Major,"Guys say it's real good when you take it, but it wrecks you in the long run. I'd steer clear of that stuff if I were you.","Guys say it's real good when you take it, but it wrecks<br/>you in the long run. I'd steer clear of that stuff if I<br/>were you.",メイジャ,構成員も使っているようだけど、 かなり負担が大きいからおススメしないわ。,構成員も使っているようだけど、<br/>かなり負担が大きいからおススメしないわ。,,
c1200,3,43,Major,"Hey there! Can I interest you in any of my specialty herbs? Satisfaction guaranteed, heh heh.","Hey there! Can I interest you in any of my<br/>specialty herbs? Satisfaction guaranteed, heh heh.",メイジャ,ウフフ、いらっしゃい。 イイ気持ちになれるハーブはいかがかしら？,ウフフ、いらっしゃい。<br/>イイ気持ちになれるハーブはいかがかしら？,,
c1200,3,44,Major,"Before you ask, all my stuff is all safe and street legal. I'm just here to give people a good time.","Before you ask, all my stuff is all safe and street legal.<br/>I'm just here to give people a good time.",メイジャ,ウチのは一応、法的にもセーフな品よ。 効果がバッチリ出るってだけでね。,ウチのは一応、法的にもセーフな品よ。<br/>効果がバッチリ出るってだけでね。,,
c1200,3,45,Major,"I do have some of the grayer stuff, but I've had issues with people not using it right. Can't trust those boys with it, so I don't advertise it.","I do have some of the grayer stuff, but I've had issues<br/>with people not using it right. Can't trust those boys<br/>with it, so I don't advertise it.",メイジャ,グレーな品もないわけじゃないけど…… 前にとある連中に流したら“壊れた”事があってね。,グレーな品もないわけじゃないけど……<br/>前にとある連中に流したら“壊れた”事があってね。,,
c1200,3,46,Major,"I told them to be careful with that stuff, but no dice. But, well, that's what I get for dealing with those types. Never again.","I told them to be careful with that stuff, but no dice.<br/>But, well, that's what I get for dealing with<br/>those types. Never again.",メイジャ,あの半グレ達、用法用量は守りなさいって言ったのに。 ……ま、自業自得だけど以来控えてるのよ。,あの半グレ達、用法用量は守りなさいって言ったのに。<br/>……ま、自業自得だけど以来控えてるのよ。,,
c1200,3,47,Van,"(Way she talks, it sounds like her stuff's on the up-and-up. You just gotta use it wisely and you'll be fine.)","(Way she talks, it sounds like her stuff's on<br/>the up-and-up. You just gotta use it wisely and you'll<br/>be fine.)",ヴァン,（ここはまだ真っ当な品が中心だな。   わきまえて使う分には問題ないはずだぜ。）,（ここはまだ真っ当な品が中心だな。<br/>  わきまえて使う分には問題ないはずだぜ。）,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
c1200,3,48,Immovable Jin,(Interesting. Maybe I'll take a look at her inventory— partly because I'm curious and partly to make sure she's sticking to her word.),(Interesting. Maybe I'll take a look at her inventory—<br/>partly because I'm curious and partly to make sure<br/>she's sticking to her word.),不動のジン,（なるほどなぁ、調査も兼ねて   ちょいと覗いてみるかね。）,（なるほどなぁ、調査も兼ねて<br/>  ちょいと覗いてみるかね。）,,"<img class=""itp-kuro"" src=""itp/11/avfc0111_out.webp""/>"
c1200,3,49,Major,"You know, I had some funky hookahs come in through Tharbad.","You know, I had some funky hookahs come in<br/>through Tharbad.",メイジャ,そういえばしばらく前に、サルバッド経由で “妙なシーシャ”が流れてきてね。,そういえばしばらく前に、サルバッド経由で<br/>“妙なシーシャ”が流れてきてね。,,
c1200,3,50,Major,"I had them for sale for a hot minute, but then I heard the police were going around clearing them off the streets.","I had them for sale for a hot minute, but then I heard<br/>the police were going around clearing them off<br/>the streets.",メイジャ,ウチでも一時期扱っていたけど、 警察が回収してるって聞いて分析したら……,ウチでも一時期扱っていたけど、<br/>警察が回収してるって聞いて分析したら……,,
c1200,3,51,Major,"I open them up and, sure enough, they've got some real hardcore stuff in them. I pulled them after that— it's just not worth it.","I open them up and, sure enough, they've got some<br/>real hardcore stuff in them. I pulled them after that—<br/>it's just not worth it.",メイジャ,まあ色々とディープな成分だったから すぐに取り扱いをやめたわ。,まあ色々とディープな成分だったから<br/>すぐに取り扱いをやめたわ。,,
c1200,3,52,Major,"I'm not in that kinda business. I sell good times, not lifetimes.","I'm not in that kinda business. I sell good times,<br/>not lifetimes.",メイジャ,流石にそういう品を売りさばくのは 抵抗があるのよね。,流石にそういう品を売りさばくのは<br/>抵抗があるのよね。,,
c1200,3,53,Ferry,"(She must be talking about those orbal hookahs. Good to hear the police got rid of them here, too!)","(She must be talking about those orbal hookahs.<br/>Good to hear the police got rid of them here, too!)",フェリ,（例の導力シーシャが……でもちゃんと   回収されたみたいで良かったです！）,（例の導力シーシャが……でもちゃんと<br/>  回収されたみたいで良かったです！）,,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>"
c1200,3,54,Van,"(Generally, the longer a shop's been around, the better the vendors know what to sell and not sell. This lady here's a bit of an outlier, but still.)","(Generally, the longer a shop's been around, the<br/>better the vendors know what to sell and not sell.<br/>This lady here's a bit of an outlier, but still.)",ヴァン,（黒芒街の連中も色々だが、   老舗ほど弁えた連中が多い。）,（黒芒街の連中も色々だが、<br/>  老舗ほど弁えた連中が多い。）,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
c1200,3,55,Van,"(It ain't THAT scary, shoppin' down here—just remember where those lines are and make sure you don't cross 'em. All right?)","(It ain't THAT scary, shoppin' down here—just<br/>remember where those lines are and make sure you<br/>don't cross 'em. All right?)",ヴァン,（ま、線引きのラインは見極めつつ   使えるものは使っていくでいいだろ。）,（ま、線引きのラインは見極めつつ<br/>  使えるものは使っていくでいいだろ。）,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
c1200,3,56,Agnes,(Right! That's good to know!),(Right! That's good to know!),アニエス,（はい……！）,（はい……！）,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
c1200,4,57,Emai,"Blacklight's important to a lot of us. It lets us do our business in peace, free from prying eyes.","Blacklight's important to a lot of us. It lets us do our<br/>business in peace, free from prying eyes.",イーマイ,ここはワシらが安心して 商売に励める大事な場所なんじゃよ。,ここはワシらが安心して<br/>商売に励める大事な場所なんじゃよ。,,
c1200,4,58,Emai,"So I don't care WHO Almata sends down here, I'm not giving them one rege of our turf! If anything of mine would help, you let me know.","So I don't care WHO Almata sends down here, I'm<br/>not giving them one rege of our turf! If anything of<br/>mine would help, you let me know.",イーマイ,アルマータだろうと明け渡すつもりはないぞい。 さあさあ、しっかり準備していくがいい。,アルマータだろうと明け渡すつもりはないぞい。<br/>さあさあ、しっかり準備していくがいい。,,
c1200,4,59,Emai,We're counting on you young'uns! Don't let us down!,We're counting on you young'uns! Don't let us down!,イーマイ,ほっほ、朗報も期待しておるぞい！,ほっほ、朗報も期待しておるぞい！,,
c1200,4,60,Emai,"I dunno what in the world those demon-looking things are, and I'm clueless as to why all those guys are frozen in place...","I dunno what in the world those demon-looking<br/>things are, and I'm clueless as to why all those guys<br/>are frozen in place...",イーマイ,あの悪魔もどきが何なのかは知らんが…… ついでに“停まった”連中も謎ばかりじゃが……,あの悪魔もどきが何なのかは知らんが……<br/>ついでに“停まった”連中も謎ばかりじゃが……,,
c1200,4,61,Emai,...but this is the Blacklight District! It'll take more than a couple of freakshows to rattle us.,...but this is the Blacklight District! It'll take more<br/>than a couple of freakshows to rattle us.,イーマイ,ほっほ、ここは黒芒街。 そう簡単にくたばったりはせんぞい。,ほっほ、ここは黒芒街。<br/>そう簡単にくたばったりはせんぞい。,,
c1200,4,62,Emai,"I've got these protective amulets for sale, if you're interested. No idea if they work at all, but it can't hurt to give them a try.","I've got these protective amulets for sale, if<br/>you're interested. No idea if they work at all, but it<br/>can't hurt to give them a try.",イーマイ,効くかは知らんが魔よけグッズも扱っておる。 見るだけでも見ていくがいいぞい。,効くかは知らんが魔よけグッズも扱っておる。<br/>見るだけでも見ていくがいいぞい。,,
c1200,4,63,Emai,"I've known old Filenkov for decades now. He and I must go back...oh, 30 years, probably.","I've known old Filenkov for decades now. He and I<br/>must go back...oh, 30 years, probably.",イーマイ,フィレンコフとは長い付き合いでの、 かれこれ３０年以上になるか……,フィレンコフとは長い付き合いでの、<br/>かれこれ３０年以上になるか……,,
c1200,4,64,Emai,"Oddball, for sure, but customers like him are a rare breed.","Oddball, for sure, but customers like him are a<br/>rare breed.",イーマイ,この通りの変わり者じゃが それだけに貴重な取引相手でもあるんじゃ。,この通りの変わり者じゃが<br/>それだけに貴重な取引相手でもあるんじゃ。,,
c1200,4,65,Emai,"Although I can't remember how long it's been since I last saw him in person. He hasn't really aged gracefully, has he?","Although I can't remember how long it's been since I<br/>last saw him in person. He hasn't really aged<br/>gracefully, has he?",イーマイ,……しかし顔を見たのは何年ぶりじゃ？ 幾つになってもフラフラしすぎじゃのお～。,……しかし顔を見たのは何年ぶりじゃ？<br/>幾つになってもフラフラしすぎじゃのお～。,,
c1200,4,66,Emai,"I got to sell off that lovely vase today—business is just booming these days! I'm on cloud nine, hoho!","I got to sell off that lovely vase today—business is just<br/>booming these days! I'm on cloud nine, hoho!",イーマイ,今日はイイ壺が売れたんじゃよ。 ほっほ、景気も良うて万々歳じゃのう～♪,今日はイイ壺が売れたんじゃよ。<br/>ほっほ、景気も良うて万々歳じゃのう～♪,,
c1200,4,67,Emai,"Hmm...? Now, you don't look very sunny, sonny. What's got you down?","Hmm...? Now, you don't look very sunny, sonny.<br/>What's got you down?",イーマイ,おや……何やらしけたツラをしとるの？,おや……何やらしけたツラをしとるの？,,
c1200,4,68,Emai,"We drove out those Almata goons for good, yeah? What better reason to go out and party?","We drove out those Almata goons for good, yeah?<br/>What better reason to go out and party?",イーマイ,アルマータの連中も壊滅したんじゃ。 ぱーっと遊んでいったらどうじゃ？,アルマータの連中も壊滅したんじゃ。<br/>ぱーっと遊んでいったらどうじゃ？,,
c1200,4,69,Emai,"The Blacklight District is just packed with people these days... It's a madhouse, I swear.","The Blacklight District is just packed with people<br/>these days... It's a madhouse, I swear.",イーマイ,今黒芒街にも色んな連中が入り込んどってな。 正直カオスになってきたわい。,今黒芒街にも色んな連中が入り込んどってな。<br/>正直カオスになってきたわい。,,
c1200,4,70,Emai,"Some are selling, some are snooping, some are just doing whatever they darn well please. It's hard to know what's going on anymore.","Some are selling, some are snooping, some are just<br/>doing whatever they darn well please. It's hard to<br/>know what's going on anymore.",イーマイ,偵察、売り込み、何を考えとるのか 分からん連中も多い。,偵察、売り込み、何を考えとるのか<br/>分からん連中も多い。,,
c1200,4,71,Emai,It's gotten everybody a bit high strung lately. Be careful walking around—you don't wanna set anybody off.,It's gotten everybody a bit high strung lately.<br/>Be careful walking around—you don't wanna set<br/>anybody off.,イーマイ,お陰でピリついとる住人もおる、 ブラつくなら気をつけてのう。,お陰でピリついとる住人もおる、<br/>ブラつくなら気をつけてのう。,,
c1200,4,72,Emai,"Oof, ack... Why's my old wound giving me trouble again...?","Oof, ack... Why's my old wound giving me trouble<br/>again...?",イーマイ,イタタ……なぜか近頃古傷がうずくのぉ……,イタタ……なぜか近頃古傷がうずくのぉ……,,
c1200,4,73,Emai,"Might just be karma. What goes around, comes around. This isn't the first time it's given me grief, and I doubt it'll be the last.","Might just be karma. What goes around,<br/>comes around. This isn't the first time it's given me<br/>grief, and I doubt it'll be the last.",イーマイ,これでも因果な商売じゃからの、 刺された事も１度や２度じゃないんじゃよ。,これでも因果な商売じゃからの、<br/>刺された事も１度や２度じゃないんじゃよ。,,
c1200,4,74,Emai,"Heiyue had their eyes on me in my youth... I had to bail from Langport, it got so bad. I miss that city...","Heiyue had their eyes on me in my youth... I had to<br/>bail from Langport, it got so bad. I miss that city...",イーマイ,ワシも若かったからの～、黒月に目をつけられて 煌都にいられなくなったのもいい思い出じゃ……,ワシも若かったからの～、黒月に目をつけられて<br/>煌都にいられなくなったのもいい思い出じゃ……,,
c1200,4,75,Emai,Ohoho. Perhaps I should head over to Isabelle's and have her take a look at my old wound. Maybe there's something she can do for me.,Ohoho. Perhaps I should head over to Isabelle's and<br/>have her take a look at my old wound. Maybe there's<br/>something she can do for me.,イーマイ,ほっほ、古傷の方は またイザベルに見てもらうとするかのう～。,ほっほ、古傷の方は<br/>またイザベルに見てもらうとするかのう～。,,
c1200,4,76,Emai,"Word on the street is, the big A's finally cooling off. It's been about two weeks since they were last around.","Word on the street is, the big A's finally cooling off.<br/>It's been about two weeks since they were last around.",イーマイ,近頃《Ａ》の連中が姿を見せんようになっての、 裏社会でもちょっとした噂じゃよ。,近頃《Ａ》の連中が姿を見せんようになっての、<br/>裏社会でもちょっとした噂じゃよ。,,
c1200,4,77,Emai,"Maybe they're finally pulling out of Edith for good... and good riddance, I say. I can finally get back to business with them gone.","Maybe they're finally pulling out of Edith for good...<br/>and good riddance, I say. I can finally get back to<br/>business with them gone.",イーマイ,もう二週間……首都から手を引いたのかもしれんな。 少しはやりやすくなるといいんじゃがの～。,もう二週間……首都から手を引いたのかもしれんな。<br/>少しはやりやすくなるといいんじゃがの～。,,
c1200,4,78,Emai,I just remembered: there were these gangsters who came up to my shop a while ago looking for some strange antique...,I just remembered: there were these gangsters who<br/>came up to my shop a while ago looking for some<br/>strange antique...,イーマイ,そういえば、しばらく前に半グレどもが 妙な骨董品を探しに来たんじゃが……,そういえば、しばらく前に半グレどもが<br/>妙な骨董品を探しに来たんじゃが……,,
c1200,4,79,Emai,Hindsight says they might've been working for A. Makes you wonder who's been pulling the strings behind all this—even I can't say for certain.,Hindsight says they might've been working for A.<br/>Makes you wonder who's been pulling the strings<br/>behind all this—even I can't say for certain.,イーマイ,あれも《Ａ》絡みだったとか。 本当にどこで糸を引いておるか分からんな。,あれも《Ａ》絡みだったとか。<br/>本当にどこで糸を引いておるか分からんな。,,
