gameId,fname,scene,row,engChrName,engSearchText,engHtmlText,jpnChrName,jpnSearchText,jpnHtmlText,opName,pcIconHtml,evoIconHtml
a0601,1,1,CHR_THIS,"Still, you don't hear about monsters attacking buses very often lately.","Still, you don't hear about monsters attacking buses<br/>very often lately.",CHR_THIS,それにしても、バスが魔獣に襲われるとは 最近じゃ珍しいな。,それにしても、バスが魔獣に襲われるとは<br/>最近じゃ珍しいな。,,
a0601,3,14,CHR_THIS,"It's fortunate that none of my passengers were hurt, but does this still count as putting them in danger...?","It's fortunate that none of my passengers were hurt,<br/>but does this still count as putting them in danger...?",CHR_THIS,……乗客にケガ人がいなくて幸いだが、 危険には曝した事にはなるのかな……,……乗客にケガ人がいなくて幸いだが、<br/>危険には曝した事にはなるのかな……,,
a0601,3,15,CHR_THIS,"It was inevitable, right? I won’t be held responsible, will I?","It was inevitable, right? I won’t be held responsible,<br/>will I?",CHR_THIS,不可抗力だよな、俺は責任問われないよな？,不可抗力だよな、俺は責任問われないよな？,,
a0601,3,16,CHR_THIS,"Still, I can't help but feel bad about the delay...","Still, I can't help but feel bad about the delay...",CHR_THIS,しかし、自分は悪くないとは言え 遅延に関しては申し訳ないな……,しかし、自分は悪くないとは言え<br/>遅延に関しては申し訳ないな……,,
a0601,3,17,CHR_THIS,"I was petrified about the complaints I'd get, but it seems like the repair work is in good hands. That takes a little bit of the stress off.","I was petrified about the complaints I'd get, but it<br/>seems like the repair work is in good hands.<br/>That takes a little bit of the stress off.",CHR_THIS,クレームが怖いのもあるが、修理にあたって くれている人の手際が良さそうで少し安心したよ。,クレームが怖いのもあるが、修理にあたって<br/>くれている人の手際が良さそうで少し安心したよ。,,
a0601,4,18,CHR_THIS,Who would have thought I'd get held up in an accident on my long-awaited trip to Remiferia?,Who would have thought I'd get held up in an<br/>accident on my long-awaited trip to Remiferia?,CHR_THIS,せっかくのレミフェリア旅行だったのに、 まさか事故で足止めされるなんてね……,せっかくのレミフェリア旅行だったのに、<br/>まさか事故で足止めされるなんてね……,,
a0601,4,19,CHR_THIS,Oh well. Doing some sightseeing in this village should lift my spirits.,Oh well. Doing some sightseeing in this village<br/>should lift my spirits.,CHR_THIS,まあ、気分を切り替えてこの村を観光するわ。,まあ、気分を切り替えてこの村を観光するわ。,,
a0601,4,20,CHR_THIS,"There's always something interesting discover, no matter where you go. That's why I can never give up traveling.","There's always something interesting discover, no<br/>matter where you go. That's why I can never give<br/>up traveling.",CHR_THIS,どんな場所でも何かしらの発見がある、 だから旅行はやめられないのよ。,どんな場所でも何かしらの発見がある、<br/>だから旅行はやめられないのよ。,,
a0601,4,21,CHR_THIS,"If I hadn't gotten stuck in this village, I might not have discovered this hidden gem. iIf you look it at that way, I actually got lucky.","If I hadn't gotten stuck in this village, I might not<br/>have discovered this hidden gem. iIf you look it at<br/>that way, I actually got lucky.",CHR_THIS,村に留まるのもこの際、旅先が一つ増えたと 思えば何てことはないわ。,村に留まるのもこの際、旅先が一つ増えたと<br/>思えば何てことはないわ。,,
a0601,4,22,CHR_THIS,I travel practically every month anyway.,I travel practically every month anyway.,CHR_THIS,どの道、毎月のように旅行してるしね。,どの道、毎月のように旅行してるしね。,,
a0601,4,23,CHR_THIS,"Last month, I went to Crossbell. Their theme park is worth a visit, let me tell you that.","Last month, I went to Crossbell. Their theme park is<br/>worth a visit, let me tell you that.",CHR_THIS,ちなみに先月はクロスベルに行ったんだけど、 あそこのテーマパークは一見の価値ありよ。,ちなみに先月はクロスベルに行ったんだけど、<br/>あそこのテーマパークは一見の価値ありよ。,,
a0601,5,24,CHR_THIS,"Ah! N-no, this isn’t, I’m not...","Ah! N-no, this isn’t, I’m not...",CHR_THIS,……ひっ！ ち、違うんだ、自分は……,……ひっ！<br/>ち、違うんだ、自分は……,,
a0601,5,25,CHR_THIS,"N-no... nothing, never mind. D-don’t bother yourself with me... please?","N-no... nothing, never mind. D-don’t bother yourself<br/>with me... please?",CHR_THIS,い、いや……やっぱり何でもない…… か、構わないでくれ……ください……,い、いや……やっぱり何でもない……<br/>か、構わないでくれ……ください……,,
a0601,5,26,Van,(Huh? Was he looking at me?),(Huh? Was he looking at me?),ヴァン,（何だ、俺を見て言ってんのか？）,（何だ、俺を見て言ってんのか？）,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
a0601,5,27,Agnes,(He seems to be afraid... Is he an acquaintance of yours?,(He seems to be afraid... Is he an acquaintance<br/>of yours?,アニエス,（どうやら怯えているようですが……   お知合いですか？）,（どうやら怯えているようですが……<br/>  お知合いですか？）,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
a0601,5,28,Van,"(Nope, no idea who he is.)","(Nope, no idea who he is.)",ヴァン,（いや、知らんな。）,（いや、知らんな。）,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
a0601,5,29,Van,"(Well, something’s up with him but we’ve got other priorities.)","(Well, something’s up with him but we’ve got<br/>other priorities.)",ヴァン,（事情がありそうだが、俺たちにも優先順位がある。）,（事情がありそうだが、俺たちにも優先順位がある。）,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
a0601,5,30,Van,(Let’s just leave him be for now.),(Let’s just leave him be for now.),ヴァン,（一旦はそっとしておいてやろう。）,（一旦はそっとしておいてやろう。）,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
a0601,5,31,CHR_THIS,"T-They’ve already come all the way out here....? No. No, it can’t be... but he’s clearly not your average person...","T-They’ve already come all the way out here....? No.<br/>No, it can’t be... but he’s clearly not your<br/>average person...",CHR_THIS,こ、こんなところまでもう……？ いや、でもまさか……だがタダ者では……,こ、こんなところまでもう……？<br/>いや、でもまさか……だがタダ者では……,,
a0601,5,32,Van,(You wouldn't be that scared if you had nothing to hide...),(You wouldn't be that scared if you had nothing<br/>to hide...),ヴァン,（どうも後ろめたい事がありそうな怯え方だな……）,（どうも後ろめたい事がありそうな怯え方だな……）,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
a0601,5,33,Van,"(Best to keep an eye on him, I suppose.)","(Best to keep an eye on him, I suppose.)",ヴァン,（一応注意しておくとするか。）,（一応注意しておくとするか。）,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
a0601,6,34,CHR_THIS,"As for myself, I'm a fisherman from the Republic's branch of the Fisherman's Guild.","As for myself, I'm a fisherman from the Republic's<br/>branch of the Fisherman's Guild.",CHR_THIS,自分は《釣公師団（ちょうこうしだん）》共和国支部の釣り師でね。,自分は《釣公師団（ちょうこうしだん）》共和国支部の釣り師でね。,,
a0601,6,35,CHR_THIS,"I arrived here yesterday to assess the water quality and develop some new fishing spots, but...","I arrived here yesterday to assess the water quality and<br/>develop some new fishing spots, but...",CHR_THIS,水質調査と釣り場開拓で昨日から来てるんだが……,水質調査と釣り場開拓で昨日から来てるんだが……,,
a0601,6,36,CHR_THIS,I came back from fishing to find there'd been some sort of incident.,I came back from fishing to find there'd been some<br/>sort of incident.,CHR_THIS,釣りから帰って来てみれば何かあったのようだね。,釣りから帰って来てみれば何かあったのようだね。,,
a0601,6,37,CHR_THIS,It's probably best to stay inside for now.,It's probably best to stay inside for now.,CHR_THIS,今は外に出るのは危なかったりするのかな。,今は外に出るのは危なかったりするのかな。,,
a0601,6,38,CHR_THIS,"I got a bike last year, and I have to admit, it's made my work in the outskirts so much easier.","I got a bike last year, and I have to admit, it's made<br/>my work in the outskirts so much easier.",CHR_THIS,去年から自転車を持っているんだけど、 お陰でこういう郊外での活動が一段と捗るね。,去年から自転車を持っているんだけど、<br/>お陰でこういう郊外での活動が一段と捗るね。,,
a0601,6,39,CHR_THIS,Riding it is fun in itself. It's almost as popular as fishing now.,Riding it is fun in itself. It's almost as popular as<br/>fishing now.,CHR_THIS,自転車そのものも楽しいし、最早釣りに次ぐ 趣味になりつつあるよ。,自転車そのものも楽しいし、最早釣りに次ぐ<br/>趣味になりつつあるよ。,,
a0601,6,40,CHR_THIS,I feel like our bikes even influence which fishing spots we choose nowadays.,I feel like our bikes even influence which fishing spots<br/>we choose nowadays.,CHR_THIS,最近は釣りポイントの選び方が、 自転車ありきになってる感すらあるな。,最近は釣りポイントの選び方が、<br/>自転車ありきになってる感すらあるな。,,
a0601,7,41,CHR_THIS,"Hey, did you see that cute green-haired guy on the bus? You don't find cool people like that around here.","Hey, did you see that cute green-haired guy on<br/>the bus? You don't find cool people like that<br/>around here.",CHR_THIS,ねぇ、バス客の中にいた緑髪のイケメン見た？ この辺にはいないタイプだからすっごい新鮮！,ねぇ、バス客の中にいた緑髪のイケメン見た？<br/>この辺にはいないタイプだからすっごい新鮮！,,
a0601,7,42,CHR_THIS,"I bet you see cool people like that in the city all the time, don’t you? Ugh, now I’m even more desperate to save up and move away!","I bet you see cool people like that in the city all the<br/>time, don’t you? Ugh, now I’m even more desperate<br/>to save up and move away!",CHR_THIS,都会にはああいうお洒落さんが普通にいるのかな？ うー、これはお金貯めて移住したい欲が高まるー！,都会にはああいうお洒落さんが普通にいるのかな？<br/>うー、これはお金貯めて移住したい欲が高まるー！,,
a0601,7,43,CHR_THIS,"If he was on the bus, then maybe he stopped by the inn.","If he was on the bus, then maybe he stopped by<br/>the inn.",CHR_THIS,バスのお客なら宿屋にも寄ったのかな？,バスのお客なら宿屋にも寄ったのかな？,,
a0601,7,44,CHR_THIS,Maybe he's talking to Ran. I'd better ask where he went later.,Maybe he's talking to Ran. I'd better ask where he<br/>went later.,CHR_THIS,ならランはあの人と話してたりするのかな。 あとでどこ行ったかとか聞いてみよっと。,ならランはあの人と話してたりするのかな。<br/>あとでどこ行ったかとか聞いてみよっと。,,
a0601,8,45,CHR_THIS,"Welcome to the Creil Church... Oh, is something amiss?","Welcome to the Creil Church... Oh, is<br/>something amiss?",CHR_THIS,ようこそクレイユ礼拝堂へ…… おや、どうかされましたか？,ようこそクレイユ礼拝堂へ……<br/>おや、どうかされましたか？,,
a0601,8,46,Ferry,"No... Pardon me, are you of Central-Eastern heritage?","No... Pardon me, are you of<br/>Central-Eastern heritage?",フェリ,いえ……もしかして中東系の方でしょうか。,いえ……もしかして中東系の方でしょうか。,,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>"
a0601,8,47,Ferry,It’s a little surprising to see you working in a church around here.,It’s a little surprising to see you working in a church<br/>around here.,フェリ,この辺りの教会にもいらっしゃるとは意外です。,この辺りの教会にもいらっしゃるとは意外です。,,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>"
a0601,8,48,CHR_THIS,"Ah, tourists sometimes find it a bit surprising as well.","Ah, tourists sometimes find it a bit surprising as well.",CHR_THIS,ええ、たまに観光の方にも意外に思われますね。,ええ、たまに観光の方にも意外に思われますね。,,
a0601,8,49,CHR_THIS,"I might not look like it, but I was actually born and raised in this village.","I might not look like it, but I was actually born and<br/>raised in this village.",CHR_THIS,こう見えても私、生まれも育ちもこの村なんです。,こう見えても私、生まれも育ちもこの村なんです。,,
a0601,8,50,CHR_THIS,"After I’d finished my training and returned from the Holy City, I was approached to serve in some of the Central-Eastern temples, but...","After I’d finished my training and returned from the Holy City,<br/>I was approached to serve in some of the Central-Eastern temples, but...",CHR_THIS,修行を終えて法国から帰る時には、首都などの 中東系寺院への打診も頂きましたが……,修行を終えて法国から帰る時には、首都などの<br/>中東系寺院への打診も頂きましたが……,,
a0601,8,51,CHR_THIS,I was already set on the idea of becoming a sister for the village I was born in.,I was already set on the idea of becoming a sister<br/>for the village I was born in.,CHR_THIS,あくまで、生まれ故郷のためにシスターになると 決めていましたので。,あくまで、生まれ故郷のためにシスターになると<br/>決めていましたので。,,
a0601,8,52,Van,"Wow, talk about being loyal to your roots.","Wow, talk about being loyal to your roots.",ヴァン,へぇ、地元愛ってやつか。,へぇ、地元愛ってやつか。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
a0601,8,53,Van,"Now that ya mention it, I remember hearin' that lot of old immigrant families made this place their home back in the day.","Now that ya mention it, I remember hearin' that lot<br/>of old immigrant families made this place their home<br/>back in the day.",ヴァン,そういやここらは、結構昔の移民の家系も 馴染んでるんだっけか。,そういやここらは、結構昔の移民の家系も<br/><K>馴染んでるんだっけか。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
a0601,8,54,CHR_THIS,That's right. Everyone in this village is like family.,That's right. Everyone in this village is like family.,CHR_THIS,ええ、村の皆は家族のような者ですから。,ええ、村の皆は家族のような者ですから。,,
a0601,8,55,CHR_THIS,"As fellows in this village, other differences are fairly minor in comparison.","As fellows in this village, other differences are fairly<br/>minor in comparison.",CHR_THIS,村人同士、違いなんて意識した事もありません。,村人同士、違いなんて意識した事もありません。,,
a0601,8,56,Ferry,"I see... So this village is like one big family, too.","I see... So this village is like one big family, too.",フェリ,なるほど……この村も、一つの家族なんですね。,なるほど……この村も、一つの家族なんですね。,,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>"
a0601,8,57,Ferry,"This place is pretty different from my home back in Kruga, but we sure have that in common. It's no wonder I feel such an affinity to this place.","This place is pretty different from my home back in<br/>Kruga, but we sure have that in common. It's no<br/>wonder I feel such an affinity to this place.",フェリ,クルガの里とも違いますが、どうりで壁の無い 一体感を感じた訳です。,クルガの里とも違いますが、どうりで壁の無い<br/><K>一体感を感じた訳です。,,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>"
a0601,8,58,CHR_THIS,"A lot of people advised me to go to a chapel or temple in a bigger town, but I've never regretted my decision.","A lot of people advised me to go to a chapel or<br/>temple in a bigger town, but I've never regretted<br/>my decision.",CHR_THIS,大きな町の礼拝堂や寺院に行く事を勧める人も 多かったですが、一度も後悔していませんよ。,大きな町の礼拝堂や寺院に行く事を勧める人も<br/>多かったですが、一度も後悔していませんよ。,,
a0601,8,59,CHR_THIS,"I get to watch over my father, my brother, and all the other villagers who've taken care of me from here.","I get to watch over my father, my brother, and all the<br/>other villagers who've taken care of me from here.",CHR_THIS,父や弟、そしてお世話になってきた村の人たちを この礼拝堂から見守れるのですから。,父や弟、そしてお世話になってきた村の人たちを<br/>この礼拝堂から見守れるのですから。,,
a0601,9,60,CHR_THIS,I work as a hunter around 'ere.,I work as a hunter around 'ere.,CHR_THIS,俺はここいらで猟師をやってるモンでな。,俺はここいらで猟師をやってるモンでな。,,
a0601,9,61,CHR_THIS,I’m just on my way back from a hunt... and I heard a bus was attacked by monsters or something?,I’m just on my way back from a hunt... and I heard a<br/>bus was attacked by monsters or something?,CHR_THIS,今しがた遠征から帰ったところなんだが…… 何でも、バスが魔獣に襲われたってな？,今しがた遠征から帰ったところなんだが……<br/>何でも、バスが魔獣に襲われたってな？,,
a0601,9,62,CHR_THIS,"As a hunter, keeping monsters away is my responsibility. I'll have to search the area later.","As a hunter, keeping monsters away is<br/>my responsibility. I'll have to search the area later.",CHR_THIS,魔獣対策も猟師の役目だからな、 後で近場を探っておこう。,魔獣対策も猟師の役目だからな、<br/>後で近場を探っておこう。,,
a0601,9,63,CHR_THIS,"I might not have seen them with my own eyes, but from what I've heard, those monsters were acting pretty strange. That's cause for concern.","I might not have seen them with my own eyes, but<br/>from what I've heard, those monsters were acting<br/>pretty strange. That's cause for concern.",CHR_THIS,事故を直接見た訳じゃないが、聞く限り 魔獣の様子がおかしいのは気になるな。,事故を直接見た訳じゃないが、聞く限り<br/>魔獣の様子がおかしいのは気になるな。,,
a0601,9,64,CHR_THIS,"Hopefully it's just my imagination, but I have a bad feeling about this... Even the beasts look sort of frightened.","Hopefully it's just my imagination, but I have a bad<br/>feeling about this... Even the beasts look sort<br/>of frightened.",CHR_THIS,杞憂だと良いが、嫌な予感もするな…… 心なしか、獣達も怯えているように見える。,杞憂だと良いが、嫌な予感もするな……<br/>心なしか、獣達も怯えているように見える。,,
a0601,10,65,CHR_THIS,Whine... Grrr...,Whine... Grrr...,CHR_THIS,ウウウウ……ガルルルル……,ウウウウ……ガルルルル……,,
a0601,10,66,CHR_THIS,"As you can see, our pup sees himself as something of a guard dog as well.","As you can see, our pup sees himself as something of<br/>a guard dog as well.",CHR_THIS,見ての通りだ、うちのわんこも 警戒モードになってやがる。,見ての通りだ、うちのわんこも<br/>警戒モードになってやがる。,,
a0601,10,67,CHR_THIS,Rrrrr... Woof!,Rrrrr... Woof!,CHR_THIS,ウウウウ……ワンッ！,ウウウウ……ワンッ！,,
a0601,11,68,CHR_THIS,"We’re an Eastern family, but apparently one of my ancestors was a pretty well-respected Eastern-style blacksmith.","We’re an Eastern family, but apparently one of my<br/>ancestors was a pretty well-respected<br/>Eastern-style blacksmith.",CHR_THIS,うちは東方系の家系なんだが、祖先に それなりの東方鍛冶師がいたようでね。,うちは東方系の家系なんだが、祖先に<br/>それなりの東方鍛冶師がいたようでね。,,
a0601,11,69,CHR_THIS,It was that person's notes that inspired my daughter to go down the craftsman route. She's now training to become a technician over at the workshop.,It was that person's notes that inspired my daughter<br/>to go down the craftsman route. She's now training to<br/>become a technician over at the workshop.,CHR_THIS,娘がその人の手記に影響されて、職人の道に進むって 工房で技師として修行しているんだ。,娘がその人の手記に影響されて、職人の道に進むって<br/>工房で技師として修行しているんだ。,,
a0601,11,70,CHR_THIS,"I'd hate to stop her from pursuing her dreams, but I don’t really think there’s any connection between the kinds of professionals who work in modern workshops and old blacksmiths, myself...","I'd hate to stop her from pursuing her dreams, but I<br/>don’t really think there’s any connection between the<br/>kinds of professionals who work in modern<br/>workshops and old blacksmiths, myself...",CHR_THIS,娘の夢は否定しないが、今の工房と昔の鍛冶師じゃ、 同じ職人でも勝手が違うとも思うけどなぁ……,娘の夢は否定しないが、今の工房と昔の鍛冶師じゃ、<br/>同じ職人でも勝手が違うとも思うけどなぁ……,,
a0601,11,71,CHR_THIS,"Incidentally, I’ve never been good at machines or smithing or any of that.","Incidentally, I’ve never been good at machines or<br/>smithing or any of that.",CHR_THIS,ちなみに、俺自身は特に鍛治や 機械いじりの心得は無いよ。,ちなみに、俺自身は特に鍛治や<br/>機械いじりの心得は無いよ。,,
a0601,11,72,CHR_THIS,"Well, people say I’m a pro when it comes to fixing farming machinery...but I think they give me too much credit.","Well, people say I’m a pro when it comes to fixing<br/>farming machinery...but I think they give me too<br/>much credit.",CHR_THIS,まあ、日常的な農機具の整備は上手いって 言われるが……流石に買いかぶり過ぎだと思うな。,まあ、日常的な農機具の整備は上手いって<br/>言われるが……流石に買いかぶり過ぎだと思うな。,,
a0601,12,73,CHR_THIS,Did you enjoy our village’s famous galettes?,Did you enjoy our village’s famous galettes?,CHR_THIS,うちの村の名物、ガレットは美味しかったかしら？,うちの村の名物、ガレットは美味しかったかしら？,,
a0601,12,74,CHR_THIS,"It seems people are almost shockingly unaware galettes are made with Eastern buckwheat flour, but...","It seems people are almost shockingly unaware<br/>galettes are made with Eastern buckwheat flour, but...",CHR_THIS,ガレットに東方由来の蕎麦粉が使われているのは、 意外と知られていないようだけど……,ガレットに東方由来の蕎麦粉が使われているのは、<br/>意外と知られていないようだけど……,,
a0601,12,75,CHR_THIS,"From what I hear, it was my family’s ancestors that brought buckwheat flour here.","From what I hear, it was my family’s ancestors that<br/>brought buckwheat flour here.",CHR_THIS,蕎麦粉を持ち込んだのって、わたしの家系の ご先祖様だったらしいのよね。,蕎麦粉を持ち込んだのって、わたしの家系の<br/>ご先祖様だったらしいのよね。,,
a0601,12,76,CHR_THIS,My husband and I manage the buckwheat milling.,My husband and I manage the buckwheat milling.,CHR_THIS,私は夫と一緒に、蕎麦挽きの管理をやっているわ。,私は夫と一緒に、蕎麦挽きの管理をやっているわ。,,
a0601,12,77,CHR_THIS,"Honestly, all that stuff about my ancestors is just something stuck in my head. I just like my job because I’m proud to help with something the village is known for.","Honestly, all that stuff about my ancestors is just<br/>something stuck in my head. I just like my job<br/>because I’m proud to help with something the village<br/>is known for.",CHR_THIS,先祖がどうとか関係無く、 村の名物を支える仕事は誇らしいわね。,先祖がどうとか関係無く、<br/>村の名物を支える仕事は誇らしいわね。,,
a0601,13,78,CHR_THIS,"Oh, welcome to our village! We were just getting the fertilizer ready!","Oh, welcome to our village! We were just getting the<br/>fertilizer ready!",CHR_THIS,おう、俺らの村へようこそ！ 今は肥料の準備をしていたところでなァ！,おう、俺らの村へようこそ！<br/>今は肥料の準備をしていたところでなァ！,,
a0601,13,79,CHR_THIS,"These days, all everybody talks about is galettes--but trust me, my pumpkins will put them to shame!","These days, all everybody talks about is galettes--but<br/>trust me, my pumpkins will put them to shame!",CHR_THIS,最近じゃガレットばかり有名だが、 俺の作るカボチャも負けとらんぜ！,最近じゃガレットばかり有名だが、<br/>俺の作るカボチャも負けとらんぜ！,,
a0601,13,80,CHR_THIS,"I'm going to display my fantastic pumpkins in the harvest festival. They don't just look good, but they taste great too!","I'm going to display my fantastic pumpkins in the<br/>harvest festival. They don't just look good, but they<br/>taste great too!",CHR_THIS,収穫祭で立派なカボチャをお披露目したるよ、 見た目も味も良いって評判だからなァ！,収穫祭で立派なカボチャをお披露目したるよ、<br/>見た目も味も良いって評判だからなァ！,,
a0601,13,81,CHR_THIS,"Actually, my son and daughter are playing over by the river. Not that you'll notice much family resemblance!","Actually, my son and daughter are playing over by<br/>the river. Not that you'll notice much<br/>family resemblance!",CHR_THIS,そういや川辺の方に娘と息子がいると思うが、 あんまり似てなくてなァ！,そういや川辺の方に娘と息子がいると思うが、<br/>あんまり似てなくてなァ！,,
a0601,13,82,CHR_THIS,"It's great that my son has so much energy, but my daughter is a little too shy for my liking!","It's great that my son has so much energy, but my<br/>daughter is a little too shy for my liking!",CHR_THIS,息子は元気で何よりなんだが、 娘の方はちとばかり控えめでよ！,息子は元気で何よりなんだが、<br/>娘の方はちとばかり控えめでよ！,,
a0601,13,83,CHR_THIS,It'd put her old man's mind at ease if she were a little more ballsy.,It'd put her old man's mind at ease if she were a little<br/>more ballsy.,CHR_THIS,もう少し威勢が良いと、父親としちゃ 安心できるんだがなァ！,もう少し威勢が良いと、父親としちゃ<br/>安心できるんだがなァ！,,
a0601,14,84,CHR_THIS,"Ah, hello. Are you travelers? You don’t seem to be people who were on the bus.","Ah, hello. Are you travelers? You don’t seem to be<br/>people who were on the bus.",CHR_THIS,あら、旅行者の人たちかしら？ バスの人とは違うようだけど。,あら、旅行者の人たちかしら？<br/>バスの人とは違うようだけど。,,
a0601,14,85,CHR_THIS,"I can’t recommend any exciting points, but our village is a relaxing, peaceful place. I hope you’ll be able to take it easy while you’re here.","I can’t recommend any exciting points, but our village<br/>is a relaxing, peaceful place. I hope you’ll be able to<br/>take it easy while you’re here.",CHR_THIS,娯楽は無いけど、のんびりするには良い村よ。 何にしてもゆっくりしていくと良いわ。,娯楽は無いけど、のんびりするには良い村よ。<br/>何にしてもゆっくりしていくと良いわ。,,
a0601,14,86,CHR_THIS,"Oh, you should try some of the vegetables Martha sells herself! They’re all so good, they’re a secret little specialty of our village.","Oh, you should try some of the vegetables Martha<br/>sells herself! They’re all so good, they’re a secret little<br/>specialty of our village.",CHR_THIS,ここにいるマーサさんの直売野菜もどう？ どれも質が良くて、隠れた名物なの。,ここにいるマーサさんの直売野菜もどう？<br/>どれも質が良くて、隠れた名物なの。,,
a0601,14,87,CHR_THIS,"She carries the pumpkins we grow, too.","She carries the pumpkins we grow, too.",CHR_THIS,あたしのところで作ってる カボチャも当然あるわ。,あたしのところで作ってる<br/>カボチャも当然あるわ。,,
a0601,14,88,CHR_THIS,"Galettes are, of course, what we’re known best for. Still, we’ve got plenty of crops here that are nothing but amazing.","Galettes are, of course, what we’re known best for.<br/>Still, we’ve got plenty of crops here that are nothing<br/>but amazing.",CHR_THIS,ガレットが特に有名だけど、他にも うちの村は色々と名産揃いよ。,ガレットが特に有名だけど、他にも<br/>うちの村は色々と名産揃いよ。,,
