gameId,fname,scene,row,engChrName,engSearchText,engHtmlText,jpnChrName,jpnSearchText,jpnHtmlText,opName,pcIconHtml,evoIconHtml
e0610,1,1,Boys' voices,Wait!,Wait!,男子の声,待ってくれ……！,"<audio id=""v44_50000""><source src=""talk/11/v44_50000.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v44_50000').play()"">待ってくれ……！</a>",,
e0610,1,44,Agnes,"As much as it pains me to admit, I can't promise that I'll return safe and sound...","As much as it pains me to admit, I can't promise that<br/>I'll return safe and sound...",アニエス,絶対に無事に戻ってくる…… なんて軽々しくは言えませんけど。,"<audio id=""v01_50014""><source src=""talk/11/v01_50014.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v01_50014').play()"">絶対に無事に戻ってくる……<br/>なんて軽々しくは言えませんけど。</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
e0610,1,45,Agnes,...but I can promise that I'll spare no effort to do so. The last thing I want is to sadden you and the friends I love so dearly.,...but I can promise that I'll spare no effort to do so.<br/>The last thing I want is to sadden you and the friends<br/>I love so dearly.,アニエス,大切な友達とお父さんを哀しませないよう 最大限、努力します。,"<audio id=""v01_50015""><source src=""talk/11/v01_50015.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v01_50015').play()"">大切な友達とお父さんを哀しませないよう<br/>最大限、努力します。</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
e0610,1,46,Albert,Agnès...,Agnès...,アルベール,……アニエス……,"<audio id=""v44_50006""><source src=""talk/11/v44_50006.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v44_50006').play()"">……アニエス……</a>",,
e0610,1,47,Odette,...,...,オデット,…………………………,"<audio id=""v42_50006""><source src=""talk/11/v42_50006.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v42_50006').play()"">…………………………</a>",,
e0610,1,48,jacket men,Heh.,Heh.,ジャケットの男性,フ……,"<audio id=""v15_50002""><source src=""talk/11/v15_50002.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v15_50002').play()"">フ……</a>",,
e0610,1,49,jacket men,Very well. Make the most of your connections while you're away. The CID is at your beck and call.,Very well. Make the most of your connections while<br/>you're away. The CID is at your beck and call.,ジャケットの男性,──ＣＩＤや各方面との ツテはせいぜい活用することだ。,"<audio id=""v15_50003""><source src=""talk/11/v15_50003.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v15_50003').play()"">──ＣＩＤや各方面との<br/>ツテはせいぜい活用することだ。</a>",,
e0610,1,50,jacket men,There are many truths that lie dormant in the gap between ideals and reality. You would do well to seek them out.,There are many truths that lie dormant in the gap<br/>between ideals and reality. You would do well to seek<br/>them out.,ジャケットの男性,理想と現実の狭間の中、 自分が何を掴めるかを測る意味でも。,"<audio id=""v15_50004""><source src=""talk/11/v15_50004.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v15_50004').play()"">理想と現実の狭間の中、<br/>自分が何を掴めるかを測る意味でも。</a>",,
e0610,1,51,Agnes,...,...,アニエス,あ……,"<audio id=""v01_50016""><source src=""talk/11/v01_50016.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v01_50016').play()"">あ……</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
e0610,1,52,jacket men,I will cover for you with regards to your absence from Aramis.,I will cover for you with regards to your absence<br/>from Aramis.,ジャケットの男性,欠席理由については 私の方からもフォローしておく。,"<audio id=""v15_50005""><source src=""talk/11/v15_50005.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v15_50005').play()"">欠席理由については<br/>私の方からもフォローしておく。</a>",,
e0610,1,53,jacket men,"You have three days. No more, no less. If you exceed that, I will send in the army.","You have three days. No more, no less. If you exceed<br/>that, I will send in the army.",ジャケットの男性,だが３日が限度だ── それ以上は軍の部隊を派遣する。,"<audio id=""v15_50006""><source src=""talk/11/v15_50006.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v15_50006').play()"">だが３日が限度だ──<br/>それ以上は軍の部隊を派遣する。</a>",,
e0610,1,54,jacket men,That is as far as I'm willing to compromise.,That is as far as I'm willing to compromise.,ジャケットの男性,これが私からの最大限の譲歩だ。,"<audio id=""v15_50007""><source src=""talk/11/v15_50007.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v15_50007').play()"">これが私からの最大限の譲歩だ。</a>",,
e0610,1,55,Agnes,"That's more than enough. Thank you, Dad.","That's more than enough. Thank you, Dad.",アニエス,十分です──ありがとうお父さん。,"<audio id=""v01_50017""><source src=""talk/11/v01_50017.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v01_50017').play()"">十分です──ありがとうお父さん。</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
e0610,1,56,jacket men,"I entrust my daughter into your care, Arkride.","I entrust my daughter into your care, Arkride.",ジャケットの男性,改めてになるが、娘が世話になっている。,"<audio id=""v15_50008""><source src=""talk/11/v15_50008.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v15_50008').play()"">改めてになるが、娘が世話になっている。</a>",,
e0610,1,57,jacket men,You would do well to utilize her services to the fullest.,You would do well to utilize her services to the fullest.,ジャケットの男性,君たちの“流儀”の範疇内で存分に コキ使ってやってくれ、アークライド所長。,"<audio id=""v15_50009""><source src=""talk/11/v15_50009.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v15_50009').play()"">君たちの“流儀”の範疇内で存分に<br/>コキ使ってやってくれ、アークライド所長。</a>",,
e0610,1,58,jacket men,I see you've gathered a retinue of assistants and associates. I am depending on you all to keep her safe from harm.,I see you've gathered a retinue of assistants<br/>and associates. I am depending on you all to keep her<br/>safe from harm.,ジャケットの男性,──頼もしき助力者もいるようだし、 ある程度の安全確保も期待したい所だが。,"<audio id=""v15_50010""><source src=""talk/11/v15_50010.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v15_50010').play()"">──頼もしき助力者もいるようだし、<br/>ある程度の安全確保も期待したい所だが。</a>",,
e0610,1,59,Van,"No need to worry, Mr. Prez. Your girl's in good hands.","No need to worry, Mr. Prez. Your girl's in<br/>good hands.",ヴァン,ええ……任せてください。,"<audio id=""v00_50016""><source src=""talk/11/v00_50016.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v00_50016').play()"">ええ……任せてください。</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
e0610,1,60,Van,"We may skirt the rules of society from time to time, but we ain't about to break any labor laws.","We may skirt the rules of society from time to time,<br/>but we ain't about to break any labor laws.",ヴァン,ウチはグレーだが、労働環境は ブラックじゃないつもりなんでね。,"<audio id=""v00_50017""><source src=""talk/11/v00_50017.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v00_50017').play()"">ウチはグレーだが、労働環境は<br/>ブラックじゃないつもりなんでね。</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
e0610,1,61,Bellegarde,"I, too, will do all I can to ensure the safety of everyone here.","I, too, will do all I can to ensure the safety of<br/>everyone here.",ベルガルド,──ご息女のみならず 微力を尽くさせていただこう。,"<audio id=""v07_50040""><source src=""talk/11/v07_50040.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v07_50040').play()"">──ご息女のみならず<br/>微力を尽くさせていただこう。</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0006_out.webp""/>"
e0610,1,62,jacket men,Heheh. You have my thanks.,Heheh. You have my thanks.,ジャケットの男性,フフ、かたじけない。,"<audio id=""v15_50011""><source src=""talk/11/v15_50011.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v15_50011').play()"">フフ、かたじけない。</a>",,
e0610,1,63,Kincaid,I will give you a call once you reach the city.,I will give you a call once you reach the city.,キンケイド,現地に着いたあたりで連絡を入れる。,"<audio id=""v10_50001""><source src=""talk/11/v10_50001.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v10_50001').play()"">現地に着いたあたりで連絡を入れる。</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0112_out.webp""/>"
e0610,1,64,Kincaid,I shall leave a certain other woman in your capable hands as well.,I shall leave a certain other woman in your capable<br/>hands as well.,キンケイド,お嬢さんもそうだが ……“あいつ”の方も任せたぞ。,"<audio id=""v10_50002""><source src=""talk/11/v10_50002.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v10_50002').play()"">お嬢さんもそうだが<br/>……“あいつ”の方も任せたぞ。</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0112_out.webp""/>"
e0610,1,65,Van,*sigh* Always finds a way to saddle me with busywork.,*sigh* Always finds a way to saddle me<br/>with busywork.,ヴァン,ったく、勝手なことを……,"<audio id=""v00_50018""><source src=""talk/11/v00_50018.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v00_50018').play()"">ったく、勝手なことを……</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
e0610,1,66,Van,"Anyway, that president is sure somethin'. Definitely has the looks for the part...","Anyway, that president is sure somethin'.<br/>Definitely has the looks for the part...",ヴァン,ま、思った以上にイケオジで 大した眼力とオーラだったが……,"<audio id=""v00_50019""><source src=""talk/11/v00_50019.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v00_50019').play()"">ま、思った以上にイケオジで<br/>大した眼力とオーラだったが……</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
e0610,1,67,Van,"...but he sure doesn't wear his heart on his sleeve. The guy clearly cares about you, but he just won't come out and say it.","...but he sure doesn't wear his heart on his sleeve.<br/>The guy clearly cares about you, but he just won't<br/>come out and say it.",ヴァン,娘相手にもあのツンデレぶり── なかなか難儀そうな親父さんだな？,"<audio id=""v00_50020""><source src=""talk/11/v00_50020.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v00_50020').play()"">娘相手にもあのツンデレぶり──<br/>なかなか難儀そうな親父さんだな？</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
e0610,1,68,Agnes,...,...,アニエス,ぁ……,"<audio id=""v01_50018""><source src=""talk/11/v01_50018.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v01_50018').play()"">ぁ……</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
e0610,1,69,Agnes,"Heehee. Well, he is a politician at heart. Evading direct answers is what they're good at.","Heehee. Well, he is a politician at heart.<br/>Evading direct answers is what they're good at.",アニエス,ふふっ…… はい、本当にそうなんです。,"<audio id=""v01_50019""><source src=""talk/11/v01_50019.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v01_50019').play()"">ふふっ……<br/>はい、本当にそうなんです。</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
e0610,1,70,Odette,"Darn it! I had so many arguments prepared, but now they've been blown out of the water!","Darn it! I had so many arguments prepared, but now<br/>they've been blown out of the water!",オデット,ああもう、なんかおじさんに 全部持っていかれちゃったけど……！,"<audio id=""v42_50007""><source src=""talk/11/v42_50007.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v42_50007').play()"">ああもう、なんかおじさんに<br/>全部持っていかれちゃったけど……！</a>",,
e0610,1,71,Odette,"Just come back to me safely, all right?","Just come back to me safely, all right?",オデット,とにかく無事に戻ってきなさいよ！？,"<audio id=""v42_50008""><source src=""talk/11/v42_50008.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v42_50008').play()"">とにかく無事に戻ってきなさいよ！？</a>",,
e0610,1,72,Agnes,Will do!,Will do!,アニエス,はいっ……！,"<audio id=""v01_50020""><source src=""talk/11/v01_50020.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v01_50020').play()"">はいっ……！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
e0610,1,73,Albert,"If anything does happen, just give us a ring, and we'll be there before you know it.","If anything does happen, just give us a ring, and we'll<br/>be there before you know it.",アルベール,言っておくが何かあったら 僕たちも現地に押し掛けるからな！？,"<audio id=""v44_50007""><source src=""talk/11/v44_50007.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v44_50007').play()"">言っておくが何かあったら<br/>僕たちも現地に押し掛けるからな！？</a>",,
e0610,1,74,Albert,Until then...please look after our friend.,Until then...please look after our friend.,アルベール,アンタらも── 僕たちの幼馴染みを頼んだぞ！,"<audio id=""v44_50008""><source src=""talk/11/v44_50008.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v44_50008').play()"">アンタらも──<br/>僕たちの幼馴染みを頼んだぞ！</a>",,
