gameId,fname,scene,row,engChrName,engSearchText,engHtmlText,jpnChrName,jpnSearchText,jpnHtmlText,opName,pcIconHtml,evoIconHtml
m7100,1,1,CHR_THIS,"Temporary placement to check event progression. Once night activities and quests have been officially added, please delete.","Temporary placement to check event progression.<br/>Once night activities and quests have been officially<br/>added, please delete.",CHR_THIS,イベント進行確認用に仮配置しています。 ※夜行動やクエストが正式入力しましたら削除をお願いいたします。,イベント進行確認用に仮配置しています。<br/>※夜行動やクエストが正式入力しましたら削除をお願いいたします。,,
m7100,2,17,Aaron,Heh. Sure seems like there's something here.,Heh. Sure seems like there's something here.,アーロン,クク、何かありそうなのは 間違いなさそうだなァ？,クク、何かありそうなのは<br/>間違いなさそうだなァ？,,"<img class=""itp-kuro"" src=""itp/11/avfc0002_out.webp""/>"
m7100,2,18,Van,"Yeah. Agnès, make sure the backup crew is on standby.","Yeah. Agnès, make sure the backup crew is<br/>on standby.",ヴァン,ああ──アニエス、 待機メンバーに一応連絡を。,ああ──アニエス、<br/>待機メンバーに一応連絡を。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m7100,2,19,Van,We might need them in here at a moment's notice.,We might need them in here at a moment's notice.,ヴァン,いつでも出られるようにってな。,いつでも出られるようにってな。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m7100,2,20,Agnes,Right!,Right!,アニエス,はい、分かりました！,はい、分かりました！,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
m7100,3,21,Ferry,...!,...!,フェリ,っ……！,っ……！,,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>"
m7100,3,22,Agnes,There they are...,There they are...,アニエス,や、やっぱり……,や、やっぱり……,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
m7100,3,23,Van,...,...,ヴァン,…………………………,…………………………,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m7100,3,24,Semi-Gray,I-It's all over... We're finished...,I-It's all over... We're finished...,半グレ,ダ、ダメだ…… ……もうおしまいだ……,ダ、ダメだ……<br/>……もうおしまいだ……,,
m7100,3,25,Semi-Gray,This can't be happening... What did we do to deserve this?,This can't be happening... What did we do to<br/>deserve this?,半グレ,ふざけんなよ…… どうしてこんな事に……,ふざけんなよ……<br/>どうしてこんな事に……,,
m7100,3,26,Aaron,The hell's gotten into you guys?,The hell's gotten into you guys?,アーロン,おい、テメエら。 なにウダウダやってんだ？,おい、テメエら。<br/>なにウダウダやってんだ？,,"<img class=""itp-kuro"" src=""itp/11/avfc0002_out.webp""/>"
m7100,3,27,Semi-Gray,Eeek!,Eeek!,半グレ,ひいいいっ……！？,ひいいいっ……！？,,
m7100,3,28,Semi-Gray,Who're you?! Y-You here for a fight?!,Who're you?! Y-You here for a fight?!,半グレ,なんだよテメエら……！ や、やるってのかああッ！？,なんだよテメエら……！<br/>や、やるってのかああッ！？,,
m7100,3,29,Aaron,Tch...,Tch...,アーロン,チッ……,チッ……,,"<img class=""itp-kuro"" src=""itp/11/avfc0002_out.webp""/>"
m7100,3,30,Van,I'm a spriggan from here in Edith.,I'm a spriggan from here in Edith.,ヴァン,俺たちは首都の《裏解決屋（スプリガン）》だ。,俺たちは首都の《裏解決屋（スプリガン）》だ。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m7100,3,31,Van,Part of my crew's job is helpin' people who can't turn to the guild or the cops for aid.,Part of my crew's job is helpin' people who can't turn<br/>to the guild or the cops for aid.,ヴァン,警察やギルドに頼めねえ連中の 相談に乗ったりもしている。,警察やギルドに頼めねえ連中の<br/>相談に乗ったりもしている。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m7100,3,32,Agnes,"So, umm...if there's something you need help with, we might be able to give it to you.","So, umm...if there's something you need help with,<br/>we might be able to give it to you.",アニエス,その……何か困ったことがあれば 相談に乗らせてください。,その……何か困ったことがあれば<br/>相談に乗らせてください。,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
m7100,3,33,Agnes,Won't you at least talk to us?,Won't you at least talk to us?,アニエス,きっとお力になれると思います。,きっとお力になれると思います。,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
m7100,3,34,Semi-Gray,...You're a spriggan?,...You're a spriggan?,半グレ,裏解決屋……だとぉ？,裏解決屋……だとぉ？,,
m7100,3,35,Semi-Gray,I think I might've heard of you at some point...,I think I might've heard of you at some point...,半グレ,……そういう連中がいるのは 聞いたことが……あるような……,……そういう連中がいるのは<br/>聞いたことが……あるような……,,
m7100,3,36,Semi-Gray,"Now that I get a better look, you've got some real babes with you, huh?","Now that I get a better look, you've got some real<br/>babes with you, huh?",半グレ,……よ、よく見りゃ結構、 カワイコちゃんもいるし……,……よ、よく見りゃ結構、<br/>カワイコちゃんもいるし……,,
m7100,3,37,Ferry,Umm...,Umm...,フェリ,えと……,えと……,,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>"
m7100,3,38,Judith,*sigh* Maybe they're doing better than we thought.,*sigh* Maybe they're doing better than we thought.,ジュディス,やれやれ、現金ね。,やれやれ、現金ね。,,"<img class=""itp-kuro"" src=""itp/11/avfc5007_out.webp""/>"
m7100,3,39,Quatre,Maybe they're doing better than we thought.,Maybe they're doing better than we thought.,カトル,意外と余裕あるじゃない。,意外と余裕あるじゃない。,,"<img class=""itp-kuro"" src=""itp/11/avfc0004_out.webp""/>"
m7100,3,40,Semi-Gray,D-Don't let them trick you!,D-Don't let them trick you!,半グレ,だ、騙されるんじゃねえ！,<S5>だ、騙されるんじゃねえ！,,
m7100,3,41,Semi-Gray,The only spriggan in Edith is from Arkride Solutions!,The only spriggan in Edith is from Arkride Solutions!,半グレ,首都の裏解決屋っつったら 『アークライド解決事務所』──,首都の裏解決屋っつったら<br/>『アークライド解決事務所』──,,
m7100,3,42,Semi-Gray,The guy who kept going up against the beasts at the top of Almata!,The guy who kept going up against the beasts at the<br/>top of Almata!,半グレ,アルマータの化物どもと何度も やり合ってた連中だろうが！？,アルマータの化物どもと何度も<br/>やり合ってた連中だろうが！？,,
m7100,3,43,Semi-Gray,N-Now that you mention it...,N-Now that you mention it...,半グレ,そ、そういや……,そ、そういや……,,
m7100,3,44,Semi-Gray,If they take us in and manage to get anything out of us...,If they take us in and manage to get anything out<br/>of us...,半グレ,こ、こいつらに捕まって 情報を漏らしちまったら……,こ、こいつらに捕まって<br/>情報を漏らしちまったら……,,
m7100,3,45,Semi-Gray,NOOOOOO! / I DON'T WANNA DIEEE!,NOOOOOO! / I DON'T WANNA DIEEE!,半グレ,ひいいいっ……！ イヤだ、死にたくないっ……！,<S5>ひいいいっ……！<br/><S5>イヤだ、死にたくないっ……！,,
m7100,3,46,Van,Damn it.,Damn it.,ヴァン,クソ……,クソ……,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m7100,3,47,Lisette,They're clearly not of sound mind right now.,They're clearly not of sound mind right now.,リゼット,……どうやら普通の 精神状態ではなさそうです。,……どうやら普通の<br/>精神状態ではなさそうです。,,"<img class=""itp-kuro"" src=""itp/11/avfc5005_out.webp""/>"
m7100,3,48,Bellegarde,Hmm... If we factor their behavior in with the state of the doorknob outside...,Hmm... If we factor their behavior in with the state<br/>of the doorknob outside...,ベルガルド,ふむ、引きちぎられた ノブのことも考えれば……,ふむ、引きちぎられた<br/>ノブのことも考えれば……,,"<img class=""itp-kuro"" src=""itp/11/avfc0006_out.webp""/>"
m7100,3,49,Aaron,They've gotta be on something.,They've gotta be on something.,アーロン,なんかキメてんのは 間違いなさそうだなァ。,なんかキメてんのは<br/>間違いなさそうだなァ。,,"<img class=""itp-kuro"" src=""itp/11/avfc0002_out.webp""/>"
m7100,3,50,Agnes,"...! Oh, no!","...! Oh, no!",アニエス,……っ！ この気配は……,……っ！<br/>この気配は……,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
m7100,3,51,Ferry,It's Almata's enhancement drugs!,It's Almata's enhancement drugs!,フェリ,アルマータのドラッグによる ブーストの兆候を確認……！,アルマータのドラッグによる<br/>ブーストの兆候を確認……！,,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>"
m7100,3,52,Van,Here they come!,Here they come!,ヴァン,来るぞ──！,来るぞ──！,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m7100,3,53,Semi-Gray,Nooooooooo!,Nooooooooo!,半グレ,うあああああああっ……！,<S5>うあああああああっ……！,,
m7100,3,54,Semi-Gray,Dieeeeeeee!,Dieeeeeeee!,半グレ,死ねやコラアアアアアア！！,<S5>死ねやコラアアアアアア！！,,
m7100,4,55,Semi-Gray,I-If we don't do somethin' to stop 'em from takin' us in...,I-If we don't do somethin' to stop 'em from takin'<br/>us in...,半グレ,……こ、このままじゃ 俺たち……捕まって……,……こ、このままじゃ<br/>俺たち……捕まって……,,
m7100,4,56,Semi-Gray,Melchior...and that armored guy are gonna...,Melchior...and that armored guy are gonna...,半グレ,メルキオルさんに…… ……あの鎧の化物に………,メルキオルさんに……<br/>……あの鎧の化物に………,,
m7100,4,57,Aaron,...Figures.,...Figures.,アーロン,チッ……そういうことかよ。,チッ……そういうことかよ。,,"<img class=""itp-kuro"" src=""itp/11/avfc0002_out.webp""/>"
m7100,4,58,Ferry,Their fear really runs that deep.,Their fear really runs that deep.,フェリ,そこまで恐怖に縛られて……,そこまで恐怖に縛られて……,,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>"
m7100,4,59,Van,"Melchior's on the run, and we took out Arioch personally!","Melchior's on the run, and we took out<br/>Arioch personally!",ヴァン,メルキオルは逃亡中だ！ アリオッチは俺たちが倒した！,メルキオルは逃亡中だ！<br/>アリオッチは俺たちが倒した！,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m7100,4,60,Van,"The same goes for their boss, Dantès!","The same goes for their boss, Dantès!",ヴァン,──そして、 ボスのジェラールもな！,──そして、<br/>ボスのジェラールもな！,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m7100,4,61,Agnes,There's no one who can harm you anymore! You don't need to worry!,There's no one who can harm you anymore!<br/>You don't need to worry!,アニエス,ですからもう大丈夫です！ あなた方を害する人はいません！,ですからもう大丈夫です！<br/>あなた方を害する人はいません！,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
m7100,4,62,Agnes,"So please, just let us help you!","So please, just let us help you!",アニエス,どうか相談に乗らせてください！,どうか相談に乗らせてください！,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
m7100,4,63,Semi-Gray,R-Really...?,R-Really...?,半グレ,ほ、本当……か……？,ほ、本当……か……？,,
m7100,4,64,Semi-Gray,D-Don't let 'em fool you... If they find out we betrayed 'em...,D-Don't let 'em fool you... If they find out we<br/>betrayed 'em...,半グレ,だ、騙されるんじゃねえ…… 裏切りが分かったら……俺たちは……,だ、騙されるんじゃねえ……<br/>裏切りが分かったら……俺たちは……,,
m7100,4,65,Semi-Gray,...,...,半グレ,……っっっ…………,……っっっ…………,,
m7100,4,66,Semi-Gray,"S-Sorry, girls. I never wanna doubt a cutie, but...","S-Sorry, girls. I never wanna doubt a cutie, but...",半グレ,ゴ、ゴメンな……カワイコちゃんの 言うことは信じたいけど……,ゴ、ゴメンな……カワイコちゃんの<br/>言うことは信じたいけど……,,
m7100,4,67,Semi-Gray,"If a fate worse than death is all that's waitin' for us, I'd rather do the deed myself.","If a fate worse than death is all that's waitin' for us,<br/>I'd rather do the deed myself.",半グレ,……あんな目</B>に遭うくらいなら せめてケジメを付けてやらぁ……,……<B>あんな目</B>に遭うくらいなら<br/>せめてケジメを付けてやらぁ……,,
m7100,4,68,Quatre,Wh-What are they talking about?,Wh-What are they talking about?,カトル,な、何を言って……,な、何を言って……,,"<img class=""itp-kuro"" src=""itp/11/avfc0004_out.webp""/>"
m7100,4,69,Judith,What are you...?,What are you...?,ジュディス,いったい何を……,いったい何を……,,"<img class=""itp-kuro"" src=""itp/11/avfc5007_out.webp""/>"
m7100,4,70,Ferry,...!,...!,フェリ,っ……！,っ……！,,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>"
m7100,4,71,Bellegarde,No!,No!,ベルガルド,いかん！,いかん！,,"<img class=""itp-kuro"" src=""itp/11/avfc0006_out.webp""/>"
m7100,4,72,Agnes,Don't do it!,Don't do it!,アニエス,だめっ……！,だめっ……！,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
m7100,4,73,Van,Damn it!,Damn it!,ヴァン,クソがッ……！,クソがッ……！,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m7100,4,74,Lisette,(I can't make it in time!),(I can't make it in time!),リゼット,（間に合わない……！）,（間に合わない……！）,,"<img class=""itp-kuro"" src=""itp/11/avfc5005_out.webp""/>"
m7100,4,75,Semi-Gray,...?!,...?!,半グレ,っ……！？,っ……！？,,
m7100,4,76,Semi-Gray,Wha...?,Wha...?,半グレ,な………,な………,,
m7100,4,77,Semi-Gray,Ugh...,Ugh...,半グレ,……ぐうっ………,……ぐうっ………,,
m7100,4,78,Semi-Gray,Oof...,Oof...,半グレ,……きゅうっ………,……きゅうっ………,,
m7100,4,79,Ferry,They're fine! They're just unconscious.,They're fine! They're just unconscious.,フェリ,大丈夫……！ 気絶しただけみたいですっ。,大丈夫……！<br/>気絶しただけみたいですっ。,,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>"
m7100,4,80,Aaron,Guess that's the rebound from using a power their bodies just couldn't handle.,Guess that's the rebound from using a power their<br/>bodies just couldn't handle.,アーロン,ハッ…… 身の丈以上の力のツケってか。,ハッ……<br/>身の丈以上の力のツケってか。,,"<img class=""itp-kuro"" src=""itp/11/avfc0002_out.webp""/>"
m7100,4,81,Agnes,I'm just glad they're all right.,I'm just glad they're all right.,アニエス,よ、よかった……,よ、よかった……,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
m7100,4,82,Quatre,*sigh* What a relief. But what just happened?,*sigh* What a relief. But what just happened?,カトル,やれやれ、だね。 でも今のは──,やれやれ、だね。<br/>でも今のは──,,"<img class=""itp-kuro"" src=""itp/11/avfc0004_out.webp""/>"
m7100,4,83,Agnes,"Th-That's a relief, but...what just happened?","Th-That's a relief, but...what just happened?",アニエス,よ、よかった…… でも今のは──,よ、よかった……<br/>でも今のは──,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
m7100,4,84,Van,"Gimme a break... Timed your entrance perfectly, now, didn't you?","Gimme a break... Timed your entrance perfectly,<br/>now, didn't you?",ヴァン,ったく…… 見計らってやがったな？,ったく……<br/>見計らってやがったな？,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m7100,4,85,A wise voice,Certainly not—I only just arrived.,Certainly not—I only just arrived.,怜悧な声,フフ…… つい先ほど来たくらいだ。,"<audio id=""v10_60000""><source src=""talk/11/v10_60000.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v10_60000').play()"">フフ……<br/>つい先ほど来たくらいだ。</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0112_out.webp""/>"
m7100,4,86,Aaron,It's that damn desk jockey again.,It's that damn desk jockey again.,アーロン,出やがったなスカシ眼鏡。,出やがったなスカシ眼鏡。,,"<img class=""itp-kuro"" src=""itp/11/avfc0002_out.webp""/>"
m7100,4,87,Ferry,His aim was so precise...,His aim was so precise...,フェリ,……なんて正確な銃撃。,……なんて正確な銃撃。,,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>"
m7100,4,88,Agnes,Umm... Thank you very much for your help.,Umm... Thank you very much for your help.,アニエス,その…… ありがとうございました。,その……<br/>ありがとうございました。,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
m7100,4,89,Kincaid,Think nothing of it. Or would you prefer to call it a debt owed?,Think nothing of it. Or would you prefer to call it a<br/>debt owed?,キンケイド,礼には及ばんさ。 それとも一つ貸しにしておくか？,"<audio id=""v10_60001""><source src=""talk/11/v10_60001.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v10_60001').play()"">礼には及ばんさ。<br/>それとも一つ貸しにしておくか？</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0112_out.webp""/>"
m7100,4,90,Van,Hmph. This should be either a guild problem or somethin' your side should've handled from the start.,Hmph. This should be either a guild problem or<br/>somethin' your side should've handled from the start.,ヴァン,ハン……どっちかっつーと そっちかギルドの案件だろうが。,ハン……どっちかっつーと<br/>そっちかギルドの案件だろうが。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m7100,4,91,Van,Your boss mentioned how these guys had slipped through the cracks of your cleanup operation. Feels like you did a sloppy job to me.,Your boss mentioned how these guys had slipped<br/>through the cracks of your cleanup operation.<br/>Feels like you did a sloppy job to me.,ヴァン,室長殿からも聞いたが、記念祭前に “掃除”が足りてないんじゃねぇか？,室長殿からも聞いたが、記念祭前に<br/>“掃除”が足りてないんじゃねぇか？,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m7100,4,92,Kincaid,Not at all. This was the most efficient approach to the problem.,Not at all. This was the most efficient approach to<br/>the problem.,キンケイド,なに、あくまで効率の問題だ。,なに、あくまで効率の問題だ。,,"<img class=""itp-kuro"" src=""itp/11/avfc0112_out.webp""/>"
m7100,4,93,Kincaid,We performed a thorough cleaning of the major cities outside of Edith and drove all of the leftovers here.,We performed a thorough cleaning of the major cities<br/>outside of Edith and drove all of the leftovers here.,キンケイド,首都以外の主要都市は徹底的に浚い、 逃れた連中も全てここに</B>追い込んだ。,首都以外の主要都市は徹底的に浚い、<br/>逃れた連中も全て<B>ここに</B>追い込んだ。,,"<img class=""itp-kuro"" src=""itp/11/avfc0112_out.webp""/>"
m7100,4,94,Kincaid,We do have a Hercules unit standing by that we could send in at a moment's notice...,We do have a Hercules unit standing by that we<br/>could send in at a moment's notice...,キンケイド,このまま待機させている</B>　部隊（ハーキュリーズ）　を 投入してもいいが……,このまま<B>待機させている</B>　部隊（ハーキュリーズ）　を<br/>投入してもいいが……,,"<img class=""itp-kuro"" src=""itp/11/avfc0112_out.webp""/>"
m7100,4,95,Kincaid,...but I wonder if we should outsource the work to you instead.,...but I wonder if we should outsource the work to<br/>you instead.,キンケイド,折角だから外部委託として お前たちにも手伝ってもらおうか？,折角だから外部委託として<br/>お前たちにも手伝ってもらおうか？,,"<img class=""itp-kuro"" src=""itp/11/avfc0112_out.webp""/>"
m7100,4,96,Aaron,Son of a bitch...,Son of a bitch...,アーロン,てめぇ……,てめぇ……,,"<img class=""itp-kuro"" src=""itp/11/avfc0002_out.webp""/>"
m7100,4,97,Judith,It all makes sense now.,It all makes sense now.,ジュディス,……なるほど。 そういうカラクリだったのね。,……なるほど。<br/>そういうカラクリだったのね。,,"<img class=""itp-kuro"" src=""itp/11/avfc5007_out.webp""/>"
m7100,4,98,Lisette,It all makes sense now.,It all makes sense now.,リゼット,……なるほど。 そういうカラクリでしたか。,……なるほど。<br/>そういうカラクリでしたか。,,"<img class=""itp-kuro"" src=""itp/11/avfc5005_out.webp""/>"
m7100,4,99,Bellegarde,It all makes sense now.,It all makes sense now.,ベルガルド,……成程。 そういうカラクリか。,……成程。<br/>そういうカラクリか。,,"<img class=""itp-kuro"" src=""itp/11/avfc0006_out.webp""/>"
m7100,4,100,Quatre,All of the fragmented information we gathered from all over the city did seem to fit together remarkably well.,All of the fragmented information we gathered from<br/>all over the city did seem to fit together<br/>remarkably well.,カトル,幾つもの断片的な情報が 各方面から入ってきたけど……,幾つもの断片的な情報が<br/>各方面から入ってきたけど……,,"<img class=""itp-kuro"" src=""itp/11/avfc0004_out.webp""/>"
m7100,4,101,Bellegarde,All of the fragmented information we gathered from all over the city did seem to fit together remarkably well.,All of the fragmented information we gathered from<br/>all over the city did seem to fit together<br/>remarkably well.,ベルガルド,ふむ、幾つもの断片的な情報が 各方面から入ってきていたが。,ふむ、幾つもの断片的な情報が<br/>各方面から入ってきていたが。,,"<img class=""itp-kuro"" src=""itp/11/avfc0006_out.webp""/>"
m7100,4,102,Lisette,All of the fragmented information we gathered from all over the city did seem to fit together remarkably well.,All of the fragmented information we gathered from<br/>all over the city did seem to fit together<br/>remarkably well.,リゼット,幾つもの断片的な情報が 各方面から入ってきましたが……,幾つもの断片的な情報が<br/>各方面から入ってきましたが……,,"<img class=""itp-kuro"" src=""itp/11/avfc5005_out.webp""/>"
m7100,4,103,Agnes,We never stopped to think that all of it was deliberately spread by you to lead us here.,We never stopped to think that all of it was<br/>deliberately spread by you to lead us here.,アニエス,全部、貴方がこちらへ 誘導してのことだったんですね？,全部、貴方がこちらへ<br/>誘導してのことだったんですね？,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
m7100,4,104,Ferry,Th-That's all this was?,Th-That's all this was?,フェリ,そ、そんなことが……,そ、そんなことが……,,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>"
m7100,4,105,Kincaid,Heh. That was the intention—though whether you were able to follow the clues was down to you.,Heh. That was the intention—though whether you<br/>were able to follow the clues was down to you.,キンケイド,フフ、辿り着くかどうかは あくまで君たち次第ではあったが。,フフ、辿り着くかどうかは<br/>あくまで君たち次第ではあったが。,,"<img class=""itp-kuro"" src=""itp/11/avfc0112_out.webp""/>"
m7100,4,106,Kincaid,The rules forbade me from getting directly involved in what happened in Oración.,The rules forbade me from getting directly involved<br/>in what happened in Oración.,キンケイド,オラシオンでは“ルール”のせいで 現地で直接絡めなかったからな。,"<audio id=""v10_60002""><source src=""talk/11/v10_60002.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v10_60002').play()"">オラシオンでは“ルール”のせいで<br/>現地で直接絡めなかったからな。</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0112_out.webp""/>"
m7100,4,107,Kincaid,So I was forced to stand on the sidelines as the place filled with fond memories for us was saved by you. Consider this revenge for that.,So I was forced to stand on the sidelines as the place<br/>filled with fond memories for us was saved by you.<br/>Consider this revenge for that.,キンケイド,俺とお前と、あいつの思い出の地…… 抜け駆けされた腹いせとでも思うがいい。,"<audio id=""v10_60003""><source src=""talk/11/v10_60003.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v10_60003').play()"">俺とお前と、あいつの思い出の地……<br/>抜け駆けされた腹いせとでも思うがいい。</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0112_out.webp""/>"
